"substance";"product";"SCI-Grow";"Reference.SCI-Grow";"Load.Factor.SCI";"BCF";"Reference.BCF";"Load.Factor.BCF";"SoilDT50";"Reference.SoilDT50";"Load.Factor.SoilDT50";"Birds.Acute.LD50.mg.kg";"Reference.Value.Birds";"Load.Factor.Birds";"Mammals.Acute.Oral.LD50.mg.kg.BW.day";"Reference.Value.Mammals";"Load.Factor.Mammals";"Fish.Acute.96hr.LC50.mg.l";"Reference.Value.Fish";"Load.Factor.Fish";"Aquatic.Invertebrates.Acute.48hr.EC50.mg.l";"Reference.Value.Aquatic.Invertebrates";"Load.Factor.Aquatic.Invertebrates";"Algae.Acute.72hr.EC50.Growth.mg.l";"Reference.Value.Algae";"Load.Factor.Algae";"Aquatic.Plants.Acute.7d.EC50.mg.l";"Reference.Value.Aquatic.Plants";"Load.Factor.Aquatic.Plants";"Earthworms.Acute.14d.LC50.mg.kg";"Reference.Value.Earthworms";"Load.Factor.Earthworms";"BeesLD50";"Reference.Value.Bees";"Load.Factor.Bees";"Fish.Chronic.21d.NOEC.mg.l.corrected";"Reference.Value.Fish.Chronic";"Load.Factor.Fish.Chronic";"water.phase.DT50.days";"Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted";"Reference.Value.Aquatic.Invertebrates.Chronic";"Load.Factor.Aquatic.Invertebrates.Chronic";"Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected";"Reference.Value.Earthworms.Chronic";"Load.Factor.Earthworms.Chronic";"concentration"
"Guazatin";"32464 1";0,00535307472937412;12,5;20;0,04;5100;2,5;18;354;2,5;57,9;10;1;308;8;1;0,42;0,00021;30;0,15;0,00015;30;0,0135;2e-05;3;0;0,00035;3;3420;1;2;59;0,015;100;0,044;0,00015;3;30;0;0,00015;3;14,4;0,8;2;0,3
"Fenfuram";"32465 1";0,144336262376574;12,5;20;0;5100;2,5;42;354;2,5;0;10;1;12900;8;1;11;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Guazatin";"32465 1";0,00535307472937412;12,5;20;0,04;5100;2,5;18;354;2,5;57,9;10;1;308;8;1;0,42;0,00021;30;0,15;0,00015;30;0,0135;2e-05;3;0;0,00035;3;3420;1;2;59;0,015;100;0,044;0,00015;3;30;0;0,00015;3;14,4;0,8;2;0,3
"Imazalil";"32465 1";0,0118600496751387;12,5;20;56,3;5100;2,5;76,3;354;2,5;510;10;1;227;8;1;1,48;0,00021;30;3,5;0,00015;30;0,87;2e-05;3;0;0,00035;3;541;1;2;37,05;0,015;100;0,043;0,00015;3;7,8;0;0,00015;3;0;0,8;2;0,027
"Lindan (Gammahexa)";"32466 2";1,29015808841092;12,5;20;1300;5100;2,5;0;354;2,5;122;10;1;163;8;1;0,0029;0,00021;30;1,6;0,00015;30;2,5;2e-05;3;0,027;0,00035;3;68;1;2;0,1205;0,015;100;2,9;0,00015;3;21;54;0,00015;3;0;0,8;2;0,2
"Hg (Methoxyaethyl)";"32467 2";0;12,5;20;0,248084710808892;5100;2,5;0;354;2,5;280;10;1;30;8;1;0,43;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,01
"Triadimenol";"32468 1";0,526284005285679;12,5;20;21;5100;2,5;193,35;354;2,5;2000;10;1;721;8;1;21,3;0,00021;30;51;0,00015;30;9,6;2e-05;3;0;0,00035;3;390,5;1;2;212,4;0,015;100;3,13;0,00015;3;53;0,1;0,00015;3;100;0,8;2;0,312
"Captan";"32469 2";0,000298859482915096;12,5;20;140;5100;2,5;0,8;354;2,5;2000;10;1;2000;8;1;0,186;0,00021;30;7,1;0,00015;30;1,18;2e-05;3;12,7;0,00035;3;519;1;2;150;0,015;100;0,18;0,00015;3;0,6;0,56;0,00015;3;12,2;0,8;2;0,1
"Diazinon";"32469 2";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,21
"Thiram (TMTD)";"32469 2";0,00311568972241245;12,5;20;3,9;5100;2,5;4,89;354;2,5;930;10;1;1800;8;1;0,171;0,00021;30;0,139;0,00015;30;0,141;2e-05;3;1,6;0,00035;3;540;1;2;103,4;0,015;100;0,012;0,00015;3;1,6;0,008;0,00015;3;8,45;0,8;2;0,26
"Captan";"32470 2";0,000298859482915096;12,5;20;140;5100;2,5;0,8;354;2,5;2000;10;1;2000;8;1;0,186;0,00021;30;7,1;0,00015;30;1,18;2e-05;3;12,7;0,00035;3;519;1;2;150;0,015;100;0,18;0,00015;3;0,6;0,56;0,00015;3;12,2;0,8;2;0,08
"Lindan (Gammahexa)";"32470 2";1,29015808841092;12,5;20;1300;5100;2,5;0;354;2,5;122;10;1;163;8;1;0,0029;0,00021;30;1,6;0,00015;30;2,5;2e-05;3;0,027;0,00035;3;68;1;2;0,1205;0,015;100;2,9;0,00015;3;21;54;0,00015;3;0;0,8;2;0,2
"Thiram (TMTD)";"32470 2";0,00311568972241245;12,5;20;3,9;5100;2,5;4,89;354;2,5;930;10;1;1800;8;1;0,171;0,00021;30;0,139;0,00015;30;0,141;2e-05;3;1,6;0,00035;3;540;1;2;103,4;0,015;100;0,012;0,00015;3;1,6;0,008;0,00015;3;8,45;0,8;2;0,5
"Hg (Methoxyaethyl)";"32471 1";0;12,5;20;0,248084710808892;5100;2,5;0;354;2,5;280;10;1;30;8;1;0,43;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,012
"Amblyseius californicus";"32473 5";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Thiacloprid";"32474 1";0,000378501496446437;12,5;20;0;5100;2,5;8,4;354;2,5;49;10;1;444;8;1;24,5;0,00021;30;85,1;0,00015;30;60,6;2e-05;3;95,4;0,00035;3;105;1;2;28,07;0,015;100;0;0,00015;3;8,5;0,58;0,00015;3;62,5;0,8;2;0,009
"Thiacloprid";"32475 1";0,000378501496446437;12,5;20;0;5100;2,5;8,4;354;2,5;49;10;1;444;8;1;24,5;0,00021;30;85,1;0,00015;30;60,6;2e-05;3;95,4;0,00035;3;105;1;2;28,07;0,015;100;0;0,00015;3;8,5;0,58;0,00015;3;62,5;0,8;2;0,00015
"Cyhexatin";"32476 2";0,0118035328789953;12,5;20;5100;5100;2,5;50;354;2,5;520;10;1;265;8;1;0,06;0,00021;30;2e-04;0,00015;30;1,8e-05;2e-05;3;0;0,00035;3;0;1;2;32;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,25
"Acephat";"32477 2";0,00254299533064801;12,5;20;0,03;5100;2,5;3;354;2,5;350;10;1;945;8;1;110;0,00021;30;67,2;0,00015;30;980;2e-05;3;0;0,00035;3;22974;1;2;1,2;0,015;100;4,7;0,00015;3;0;43;0,00015;3;0;0,8;2;0,51
"Linuron";"32478 1";0,10479990300985;12,5;20;49;5100;2,5;57,6;354;2,5;314;10;1;1146;8;1;3,15;0,00021;30;0,31;0,00015;30;0,016;2e-05;3;0,017;0,00035;3;1000;1;2;160;0,015;100;0,1;0,00015;3;13;0,18;0,00015;3;0;0,8;2;0,2
"Monolinuron";"32478 1";0,258214209759817;12,5;20;40;5100;2,5;55;354;2,5;1690;10;1;2100;8;1;42;0,00021;30;32,5;0,00015;30;0,001;2e-05;3;2,4;0,00035;3;1000;1;2;296;0,015;100;5;0,00015;3;0;0,56;0,00015;3;0;0,8;2;0,2
"Linuron";"32479 2";0,10479990300985;12,5;20;49;5100;2,5;57,6;354;2,5;314;10;1;1146;8;1;3,15;0,00021;30;0,31;0,00015;30;0,016;2e-05;3;0,017;0,00035;3;1000;1;2;160;0,015;100;0,1;0,00015;3;13;0,18;0,00015;3;0;0,8;2;0,01
"Monolinuron";"32479 2";0,258214209759817;12,5;20;40;5100;2,5;55;354;2,5;1690;10;1;2100;8;1;42;0,00021;30;32,5;0,00015;30;0,001;2e-05;3;2,4;0,00035;3;1000;1;2;296;0,015;100;5;0,00015;3;0;0,56;0,00015;3;0;0,8;2;0,01
"Ethofumesat";"32480 1";0,135229241326323;12,5;20;144;5100;2,5;21,6;354;2,5;2000;10;1;2000;8;1;10,92;0,00021;30;13,52;0,00015;30;3,9;2e-05;3;52,8;0,00035;3;134;1;2;50;0,015;100;0,8;0,00015;3;20;0,32;0,00015;3;25;0,8;2;0,2
"Diazinon";"32481 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,05
"Amblyseius degenerans";"32482 5";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Permethrin";"32483 1";0,00535307472937412;12,5;20;300;5100;2,5;13;354;2,5;9800;10;1;430;8;1;0,0125;0,00021;30;6e-04;0,00015;30;0,0125;2e-05;3;0;0,00035;3;1440;1;2;0,29;0,015;100;0,00012;0,00015;3;23;0;0,00015;3;0;0,8;2;0,142
"Atrazin";"32484 1";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,2
"Bentazon";"32484 1";0,19073287570851;12,5;20;21;5100;2,5;20;354;2,5;1140;10;1;1400;8;1;100;0,00021;30;100;0,00015;30;10,1;2e-05;3;5,4;0,00035;3;870;1;2;200;0,015;100;48;0,00015;3;80;101;0,00015;3;0;0,8;2;0,2
"Atrazin";"32485 2";0,409434616203461;12,5;20;4,3;5100;2,5;70,5;354;2,5;4237;10;1;1869;8;1;4,5;0,00021;30;85;0,00015;30;0,059;2e-05;3;0,019;0,00035;3;79;1;2;100;0,015;100;2;0,00015;3;0;0,25;0,00015;3;0;0,8;2;0,5
"Benomyl";"32488 2";9,0925466597514e-05;12,5;20;27;5100;2,5;33,9;354;2,5;1000;10;1;10000;8;1;0,17;0,00021;30;0,28;0,00015;30;2;2e-05;3;2,2;0,00035;3;10,5;1;2;10;0,015;100;0,011;0,00015;3;0;0,025;0,00015;3;0;0,8;2;0,5
"Benomyl";"32489 2";9,0925466597514e-05;12,5;20;27;5100;2,5;33,9;354;2,5;1000;10;1;10000;8;1;0,17;0,00021;30;0,28;0,00015;30;2;2e-05;3;2,2;0,00035;3;10,5;1;2;10;0,015;100;0,011;0,00015;3;0;0,025;0,00015;3;0;0,8;2;0,5
"Benthiavalicarb-isopropyl";"32490 2";0,0539923474036387;12,5;20;0;5100;2,5;14,3;354;2,5;2000;10;1;5000;8;1;10;0,00021;30;10;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;100;0,015;100;1;0,00015;3;6,05;3;0,00015;3;0;0,8;2;0,0175
"Mancozeb";"32490 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,7
"Fettsäuren (Kaliumsalze)";"32491 1";0;12,5;20;255;5100;2,5;0;354;2,5;2510;10;1;2000;8;1;8,8;0,00021;30;1,2;0,00015;30;0;2e-05;3;0;0,00035;3;105;1;2;25;0,015;100;5;0,00015;3;0;0;0,00015;3;0;0,8;2;0,0104
"Aureobasidium pullulans";"32492 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;1
"Naturharze";"32493 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,42
"Carbendazim";"32494 2";0,149747773591943;12,5;20;25;5100;2,5;37,15;354;2,5;2250;10;1;10000;8;1;0,19;0,00021;30;0,15;0,00015;30;7,7;2e-05;3;0;0,00035;3;5,4;1;2;403;0,015;100;0,0032;0,00015;3;7,9;0,0015;0,00015;3;1;0,8;2;0,6
"Aclonifen";"32495 1";0,0073611292198144;12,5;20;2896;5100;2,5;89,65;354;2,5;2000;10;1;5000;8;1;0,67;0,00021;30;1,2;0,00015;30;0,47;2e-05;3;0,006;0,00035;3;150;1;2;100;0,015;100;0,005;0,00015;3;4,2;0,016;0,00015;3;45;0,8;2;0,5
"Oxadiargyl";"32495 1";0,022658395792589;12,5;20;658;5100;2,5;30;354;2,5;2000;10;1;802;8;1;0,201;0,00021;30;0,352;0,00015;30;0,001;2e-05;3;0,0015;0,00035;3;1000;1;2;200;0,015;100;0,024;0,00015;3;0,1;0,027;0,00015;3;0;0,8;2;0,0375
"Apfelwicklergranulose-Virus";"32496 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,265
"Proteine";"32497 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,035
"Chalcogran";"32498 14";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;1e-04
"Decadiencarbonsäuremethylester";"32498 14";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;2,5e-05
"Chlorpropham (CIPC)";"32499 2";0,0102933211022841;12,5;20;144;5100;2,5;7,3;354;2,5;2000;10;1;4200;8;1;7,5;0,00021;30;2,6;0,00015;30;1;2e-05;3;1,67;0,00035;3;132;1;2;276;0,015;100;0,32;0,00015;3;60;1;0,00015;3;0;0,8;2;0,005
"Iprodione";"32500 12";0,0109002391504729;12,5;20;70;5100;2,5;31,2;354;2,5;2000;10;1;2000;8;1;3,7;0,00021;30;0,66;0,00015;30;1,8;2e-05;3;1;0,00035;3;1000;1;2;112,5;0,015;100;4,1;0,00015;3;2;0,17;0,00015;3;0;0,8;2;5e-04
"Iprodione";"32500 2";0,0109002391504729;12,5;20;70;5100;2,5;31,2;354;2,5;2000;10;1;2000;8;1;3,7;0,00021;30;0,66;0,00015;30;1,8;2e-05;3;1;0,00035;3;1000;1;2;112,5;0,015;100;4,1;0,00015;3;2;0,17;0,00015;3;0;0,8;2;0,5
"Iodosulfuron-methyl-Natrium";"32501 1";0,00223898569199923;12,5;20;0;5100;2,5;2,7;354;2,5;2000;10;1;2448;8;1;100;0,00021;30;100;0,00015;30;0,07;2e-05;3;0,00083;0,00035;3;1000;1;2;115;0,015;100;10;0,00015;3;16;10;0,00015;3;0;0,8;2;0,0075
"Mefenpyr-Diethyl";"32501 1";0,032263351379077;12,5;20;392,46415735346;5100;2,5;17,5;354;2,5;2000;10;1;5000;8;1;2,4;0,00021;30;53;0,00015;30;1,65;2e-05;3;12;0,00035;3;1000;1;2;900;0,015;100;0;0,00015;3;80;0;0,00015;3;0;0,8;2;0,0225
"Mesosulfuron-methyl";"32501 1";0,453427245360166;12,5;20;0;5100;2,5;43,5;354;2,5;2000;10;1;5000;8;1;100;0,00021;30;100;0,00015;30;0,2;2e-05;3;0,00062;0,00035;3;1000;1;2;9,3;0,015;100;32;0,00015;3;44;1,8;0,00015;3;150;0,8;2;0,0075
"Cryptolaemus montrouzieri";"32502 5";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Cymoxanil";"32503 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,06
"Folpet";"32503 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,4
"Pyrifenox";"32503 2";0,0639221738934422;12,5;20;167,494287602644;5100;2,5;66;354;2,5;2000;10;1;2912;8;1;6,6;0,00021;30;3,6;0,00015;30;0,095;2e-05;3;0;0,00035;3;733;1;2;59;0,015;100;0;0,00015;3;365;0;0,00015;3;0;0,8;2;0,0125
"Cyflufenamid";"32504 1";0,0680655639096562;12,5;20;528;5100;2,5;121,9;354;2,5;2000;10;1;5000;8;1;1,04;0,00021;30;1,73;0,00015;30;0,828;2e-05;3;0;0,00035;3;500;1;2;100;0,015;100;0,024;0,00015;3;4,3;0,041;0,00015;3;0;0,8;2;0,0514
"Cypermethrin";"32505 1";0,00535307472937412;12,5;20;1204;5100;2,5;64;354;2,5;10000;10;1;287;8;1;0,0028;0,00021;30;3e-04;0,00015;30;0,1;2e-05;3;0;0,00035;3;100;1;2;0,0275;0,015;100;3e-05;0,00015;3;3;4e-05;0,00015;3;0;0,8;2;5e-05
"Dacnusa sibirica";"32506 11";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Diglyphus isaea";"32506 11";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Dithianon";"32507 1";0,00809281359661077;12,5;20;27;5100;2,5;10,5;354;2,5;309;10;1;300;8;1;0,07;0,00021;30;0,26;0,00015;30;0,09;2e-05;3;0;0,00035;3;578;1;2;62,7;0,015;100;0,02;0,00015;3;0,05;0,05;0,00015;3;22,3;0,8;2;0,75
"Aluminiumphosphid";"32508 3";0;12,5;20;0;5100;2,5;0,215;354;2,5;49;10;1;8,7;8;1;0,0097;0,00021;30;0,37;0,00015;30;0,058;2e-05;3;0;0,00035;3;663,5;1;2;0,24;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,015
"Methopren";"32509 1";0,00918785467760237;12,5;20;3400;5100;2,5;10;354;2,5;2250;10;1;34600;8;1;0,76;0,00021;30;0,089;0,00015;30;1,33;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0,051;0,00015;3;0;0,8;2;0,5983
"Diazinon";"32510 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,25
"Dichlobenil";"32511 12";0,0940821334781148;12,5;20;100;5100;2,5;47,075;354;2,5;698;10;1;2000;8;1;7,2;0,00021;30;6,2;0,00015;30;111;2e-05;3;0,0279;0,00035;3;135;1;2;11;0,015;100;0,66;0,00015;3;10,5;1,2;0,00015;3;0;0,8;2;7,5e-05
"Dichlobenil";"32511 2";0,0940821334781148;12,5;20;100;5100;2,5;47,075;354;2,5;698;10;1;2000;8;1;7,2;0,00021;30;6,2;0,00015;30;111;2e-05;3;0,0279;0,00035;3;135;1;2;11;0,015;100;0,66;0,00015;3;10,5;1,2;0,00015;3;0;0,8;2;0,075
"Epoxiconazole";"32513 1";0,123846554446731;12,5;20;70;5100;2,5;290;354;2,5;2000;10;1;3160;8;1;3,14;0,00021;30;8,69;0,00015;30;1,19;2e-05;3;0,014;0,00035;3;500;1;2;91,5;0,015;100;0,01;0,00015;3;65,8;0,63;0,00015;3;0,084;0,8;2;0,067
"Fenpropimorph";"32513 1";0,00919611448450654;12,5;20;428;5100;2,5;27,3;354;2,5;2000;10;1;1670;8;1;2,3;0,00021;30;2,24;0,00015;30;0,327;2e-05;3;0;0,00035;3;500;1;2;97,8;0,015;100;0,1;0,00015;3;2,65;0;0,00015;3;4,7;0,8;2;0,25
"Kresoxim-methyl";"32513 1";0,000270905375380647;12,5;20;220;5100;2,5;8,435;354;2,5;2150;10;1;5000;8;1;0,19;0,00021;30;0,186;0,00015;30;0,063;2e-05;3;0,301;0,00035;3;469;1;2;105;0,015;100;0,013;0,00015;3;0,85;0,032;0,00015;3;0;0,8;2;0,067
"Quinoxyfen";"32513 1";0,00535307472937412;12,5;20;5040;5100;2,5;235,5;354;2,5;2250;10;1;5000;8;1;0,27;0,00021;30;0,08;0,00015;30;0,027;2e-05;3;1,85;0,00035;3;923;1;2;100;0,015;100;0,014;0,00015;3;5;0,028;0,00015;3;2,67;0,8;2;0,067
"Clopyralid";"32514 1";2,4301909094847;12,5;20;1;5100;2,5;34;354;2,5;1465;10;1;2675;8;1;99,9;0,00021;30;99;0,00015;30;30,5;2e-05;3;89;0,00035;3;1000;1;2;99,05;0,015;100;10,8;0,00015;3;148;17;0,00015;3;2;0,8;2;0,06
"Triclopyr";"32514 1";0,684602383951509;12,5;20;0,77;5100;2,5;39;354;2,5;1698;10;1;630;8;1;117;0,00021;30;131;0,00015;30;75,8;2e-05;3;0,8;0,00035;3;521;1;2;100;0,015;100;46,3;0,00015;3;24,8;48,5;0,00015;3;0;0,8;2;0,24
"Eretmocerus eremicus (syn. californicus)";"32515 5";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,1
"Benalaxyl";"32516 2";0,0655948836971573;12,5;20;57;5100;2,5;33,2;354;2,5;4600;10;1;680;8;1;3,75;0,00021;30;0,59;0,00015;30;2,4;2e-05;3;0;0,00035;3;180;1;2;100;0,015;100;0,49;0,00015;3;38;0,03;0,00015;3;36,4;0,8;2;0,04
"Mancozeb";"32516 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,65
"Lambda-Cyhalothrin";"32517 1";0,00535307472937412;12,5;20;4982;5100;2,5;175;354;2,5;3950;10;1;56;8;1;0,00021;0,00021;30;0,00036;0,00015;30;0,3;2e-05;3;0;0,00035;3;500;1;2;0,474;0,015;100;0,00025;0,00015;3;0,24;0,3;0,00015;3;0;0,8;2;0,0202
"Prochloraz";"32517 1";0,0809985796633021;12,5;20;371;5100;2,5;171,8;354;2,5;662;10;1;1023;8;1;1,5;0,00021;30;4,3;0,00015;30;0,0055;2e-05;3;0,171;0,00035;3;500;1;2;121,15;0,015;100;0,049;0,00015;3;2;0;0,00015;3;4,2;0,8;2;0,002
"Fentin acetate";"32518 2";0,0223093109805382;12,5;20;2500;5100;2,5;93;354;2,5;77,4;10;1;140;8;1;0,32;0,00021;30;0,00032;0,00015;30;2,7e-06;2e-05;3;0;0,00035;3;125;1;2;16;0,015;100;0;0,00015;3;7;0;0,00015;3;0;0,8;2;0,115
"Maneb";"32518 2";2,12050744806236e-06;12,5;20;0;5100;2,5;0,55;354;2,5;1467;10;1;5000;8;1;0,2;0,00021;30;0,0021;0,00015;30;0,007;2e-05;3;0;0,00035;3;840;1;2;94,75;0,015;100;0,0065;0,00015;3;0,35;0,0023;0,00015;3;8;0,8;2;0,34
"Tebuconazol";"32519 1";0,276877557519187;12,5;20;78;5100;2,5;214;354;2,5;1988;10;1;1700;8;1;4,4;0,00021;30;2,79;0,00015;30;1,96;2e-05;3;0,144;0,00035;3;1381;1;2;141,525;0,015;100;0,012;0,00015;3;42,6;0,01;0,00015;3;10;0,8;2;0,25
"Acetamiprid";"32520 2";0,000983060362431262;12,5;20;0;5100;2,5;1,6;354;2,5;98;10;1;146;8;1;100;0,00021;30;49,8;0,00015;30;98,3;2e-05;3;1;0,00035;3;9;1;2;11,31;0,015;100;19,2;0,00015;3;4,7;5;0,00015;3;1,26;0,8;2;0,2
"Diuron";"32521 2";0,0635047127965041;12,5;20;9,45;5100;2,5;75,5;354;2,5;1104;10;1;437;8;1;6,7;0,00021;30;5,7;0,00015;30;0,0027;2e-05;3;0,0183;0,00035;3;798;1;2;100;0,015;100;0,41;0,00015;3;8,8;0,096;0,00015;3;14,4;0,8;2;0,8
"Folpet";"32522 1";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,483
"Anilazin";"32523 2";0,000139346675562039;12,5;20;210;5100;2,5;1;354;2,5;2000;10;1;4570;8;1;0,095;0,00021;30;0,56;0,00015;30;1,02;2e-05;3;0;0,00035;3;1000;1;2;100;0,015;100;0;0,00015;3;1;0,099;0,00015;3;0;0,8;2;0,18
"Chlorothalonil";"32523 2";0,01114824142295;12,5;20;100;5100;2,5;9,2;354;2,5;2000;10;1;5000;8;1;0,017;0,00021;30;0,054;0,00015;30;0,21;2e-05;3;0,29;0,00035;3;268,5;1;2;82;0,015;100;0,003;0,00015;3;1,51;0,009;0,00015;3;50;0,8;2;0,28
"Paraffinöl";"32524 2";0;12,5;20;167,494287602644;5100;2,5;65;354;2,5;5000;10;1;0;8;1;100;0,00021;30;31,8;0,00015;30;89,9;2e-05;3;0;0,00035;3;750;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,7
"Vaseline";"32524 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,2
"Diflufenican";"32525 1";0,0416807809308971;12,5;20;1276;5100;2,5;160,9;354;2,5;2150;10;1;5000;8;1;0,099;0,00021;30;0,24;0,00015;30;0,00025;2e-05;3;0,056;0,00035;3;500;1;2;106,15;0,015;100;0,015;0,00015;3;0;0,052;0,00015;3;0;0,8;2;0,15
