ID,Active,Reference,Mammals Dermal LD50 mg/kg,Mammals dermal <>,Quality Barometer - Mammals Dermal,Mammals Inhalation LC50 mg/l,Mammals Inhalation <>,Quality Barometer - Mammals Inhalation,WHO Classification,CLP classification 2013,CLP classification precautionary statements,EC Risk Classification,EC Safety Classification,General human health issues,Genotoxic?,Carcinogen?,Endocrine distrupter?,Reproduction/development effects?,Acetyl cholinesterase inhibitor?,Neurotoxicant?,Respiratory tract irritant?,Skin irritant,Eye irritant,Handling issues,Acceptable Daily Intake (ADI) mg/kg bw,Quality Barometer - ADI,ARfD mg/kg BW/day,Quality Barometer - ARfD,Acceptable Operator Exposure Level (AOEL) Systemic,Quality Barometer - AOEL,Percutaneous Penetration study %,Quality Barometer - Percutaneous Penetration,Dangerous Substances Directive 76/464,Exposure Routes - Public,Exposure Routes - Occupational,Examples of European MRLs  mg/Kg,MRL Comments,Drinking Water MAC ug/l,MAC ref
"2739","clofop","HOE 22870",,,,,,,"III",,,"[Xn - Harmful: R22]",,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2740","clofop-isobutyl",,,,,,,,"III",,,"[Xn - Harmful: R22]",,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2741","copper bis(3-phenylsalicylate)",,,,,,,,,"[Not classified: Obsolete]",,"[Not classified: Obsolete]","[Not classified: Obsolete]","[Toxic by ingestion]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2742","coumithoate",,,,,,,,,"[Health: H301]","[P264, P270, P301+P310, P321, P30, P405, P501]",,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2743","credazine","H 722",,,,,,,"U",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2744","m-cumenyl methylcarbamate","AC 5727",,,,,,,"Not classified: Obsolete",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[May cause severe nausea/vomiting, salivation, sweating, bradycardia, hypotension, collapse and convulsions]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2745","cyanatryn","WL 63611",,,,,,,"Not classified: Obsolete",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2746","cyanthoate","M1568","105","=","V3 Rat",,,,"Not classified: Obsolete",,,"[T - Toxic: R24-28]","[S36/37-45]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[IMDG Transport code 6.1a]",,,,,,,,,,,,,,,
"2749","cypendazole","DAM 18654","1000",">","Q3 Rat",,,,"O",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2750","cyprazine","S 6115",,,,,,,"Not classified: Obsolete",,,,,"[May cause lung damage and respiration problems if inhaled]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","Possible","Possible","Possible","[Combustible], [When heated will decompose to emit toxic fumes of hydrogen chloride and nitrogen oxides]",,,,,,,,,,,,,,,
"2751","cypromid","S 6000",,,,,,,"O",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","Yes","Yes","Yes","[Will emit toxic fumes of hydrogen chloride and nitrogen oxides when heated]",,,,,,,,,,,,,,,
"2752","DAEP",,,,,,,,"Not classified: Obsolete",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2753","defenuron","IPO 4328",,,,,,,"Not classified: Obsolete",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E2","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2755","demephion",,,,,,,,"Ia",,,"[T - Toxic: R28, R24]",,"[Central nervous system toxicant], [May cause seizures, incontinence, respiratory depression leading to a loss of consciousness]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[Not compatible with stronge alkalis]",,,,,,,,,,,,,,,
"1354","8-hydroxyquinoline",,"10000",">","A5 Rat",,,,"NL","[Health: H360D, H301, H318, H317], [Environment: H400, H410]",,"[Xi - Irritant: R36/R37/R38]",,"[May cause irreversible eye damage], [Possible kidney & spleen toxicant], [Allergen & skin sensitiser]","A2; B0; C2; D0; E1","No","No data","Yes","No","No","Yes","No","Yes","[Not explosive or oxidising], [Prevent generation of dust]","0.05","A5 Rabbit, SF=100","0.05","A5 Rabbit, SF=100","0.05","A5 Rabbit, SF=100","100","A3 default",,"[Negligible if used as prescribed]","[PPE/PPC advised]",,,,
"1355","noviflumuron",,"5000",">","E4 Rat","5.24",,"E4 Rat","U",,,"[Xi - Irritant: R36], [N - Dangerous to the environment: R50/53]",,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","Yes","[IMDG Transport class 9]",,,,,,,,,,"[Low risk of exposure due to delivery system]","[Low risk of exposure due to delivery system]",,,,
"1362","fluopyram",,"2000",">","A5 Rat","5.11",">","A5 Rat, 4 hr (nose only)","NL","[Environment: H411]",,"[N - Dangerous for the environment: R51/53]",,"[Possible liver, thyroid and blood toxicant]","A3; B0; C3; D0; E0","No","No data","Possible","No data","Possible","No data","No","No","[Not oxidising or explosive], [IMDG Transport Code is usually 9]","0.012","A5 Rat, SF=100","0.5","A5 Rat, SF=100","0.05","A5 Rat, SF=100","1-3","A5 concentration dependent",,"[Acceptable for intended uses]","[Acceptable for intended uses]",,,,
"1441","dibromochloropropane","OS1897","1420",">","F3 Rat",,,,"Ia",,,"[Carcinogen category 2: R45], [Xn - Harmful: R20, R21, R22], [Xi - Irritant: R36, R37, R38], [H - Handling risks: R10]","[S45, S53, S61]","[May cause male infertility], [Liver and kidney toxicant], [May cause pulmonary edema]","A0; B0; C0; D0; E1","Yes","Possible","Yes","No","Yes","Yes","Yes","Yes","[Flammable], [Corrosive to metals]",,,,,,,,,,,"[Exposure to DBCP most likely results from the inhalation of contaminated air, but also via skin contact and ingestion]",,,,
"1449","isopyrazam","SYN 520453","5000",">","A5 Rat","5.28",">","A5 Rat, 4 hr","NL","[Health: H317, H361], [Environment: H400, H410]",,"[Xn - Harmful: R22, R43], [N - Dangerous for the environment: R50/53]","[S36/37, S60]","[Possible liver toxicant], [USEPA - probable human carcinogen]","A3; B3; C3; D0; E3","Yes","No data","Yes","No","No data","No data","Possible","No","[Not explosive or oxidising], [IMDG Transport Code 9]","0.03","A5","0.2","A5","0.05","A5","1.0","A5 ",,,,,,,
"1458","barium polysulphide",,,,,,,,"NL","[Health: H315, H319, H335], [Environment: H400]",,"[Xn - Harmful: R20/22], [Xi - Irritant; R36/37/38], [H - Handling: R31], [N - Dangerous for the environment: R50]","[S28]","[Highly toxic], [Respiratory toxicant], [May cause pulmonary edema and chronic barium poisoning]","A0; B0; C0; D0; E0","No","No","Yes","No","Possible","Yes","Yes","Yes","[May generate toxic gases in contact with acids], [Flammable], [Corrosive]",,,,,,,,,,,,,,,
"1459","azoxybenzene","HSDB 2861",,,,,,,"NL",,,"[Xn - Harmful: R20/22]","[S28]","[Liver and Kidney toxicant], [May cause jaundice or cyanosis]","A0; B0; C0; D0; E0","Possible","No data","No data","No data","No data","Yes","Yes","Yes","[Dust may form an explosive mixture in air]",,,,,,,,,,,,,,,
"1460","phosnichlor",,,,,,,,"NL",,,"[Xn - Harmful: R20/21/22]","[S2, S13]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[When heated to decomposition it emits very toxic fumes]",,,,,,,,,"List I",,,,,,
"1461","cuprobam","SHA 483300",,,,,,,"NL","[Not classified: Obsolete]",,"[Not classified: Obsolete]",,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"1462","methacrifos","CGA 20168 ","3100",">","F4 Rat","2.2","=","V3 Rat","II","[Health: H302, H317], [Environment: H410]","[P273, P280, P501]","[Xn - Harmful: R22, R43], [N - Dangerous for the environment: R50/53]","[S2, S36/37, S60, S61]","[Harmful if swallowed]","A3; B0; C0; D0; E0","No","No data","Possible","Yes","Yes","No data","Yes","No","[IMDG Transport Code is 9], [Incompatible with strong acids and alkalis]","0.006","JMPR 1990",,,,,,,,,,,,,
"1466","peroxyacetic acid",,"1410",">","Q3 Rabbit",,,,"NL",,,"[T - Toxic: R23, R24, R25], [H - Handling risks: R5, R34]","[S3, S27, S36]","[May cause severe gastrointestinal tract irritation and renal failure], [Vapours may cause dizziness]","A0; B0; C0; D0; E0","No data","No","No data","No","No data","Yes","Yes","Yes","[Unstable - may explode on heating], [Caustic and corrosive]",,,,,,,,,,,"[Occupational exposure to peracetic acid can occur through dermal contact and inhalation of vapour]",,,,
"1475","benzoic acid",,"2000",">","A5 Rabbit","1.2",">","A5 Rat, 6 hr (whole body)","NL","[Health: H315, H372, H318]",,"[Xn - Harmful: R22], [Xi - Irritant: R36, R37]","[S26]","[Large oral doses may cause abdominal pain, nausea and vomiting], [May cause urticaria, asthma, rhinitis and anaphylactic shock], [Possible liver, kidney and brain toxicant]","A3; B0; C0; D0; E3","No","No","Yes","No","No","Yes","Yes","Yes","[Not explosive or oxidising]","5.0","A5 Rat, SF=100","None allocated","A5","5.0","A5 Rat, SF=100","100","A3 default",,"[Risks acceptable for intended uses]","[Risks acceptable for intended uses]",,,,
"1476","chlorthion","BAY 22/190 ","1500",">","V3 Rat",,,,"NL",,,"[Xn - Harmful: R20/21/22], [N - Dangerous for the Environment: R50/53]","[S2, S13, S60, S61]","[No further information available]","A3; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[IMDG Transport Code is 6.1], [Emits toxic fumes when heated to decomposition]","None allocated","JMPR 1965",,,,,,,"List I",,,,,,
"1477","fentin chloride","HOE 2872",,,,,,,"NL","[Health: H301, H311, H315, H318, H330, H335, H351, H361d, H372], [Environment: H400, H410]",,"[T - Toxic: R23/24/25), (N - Dangerous for the environment: R50/53)","[S26, S27, S28, S45, S60, S61]","[May cause serious and irriversible eye damage], [May cause renal failure and death]","A3; B0; C0; D0; E0","No","No data","Yes","No data","Yes","Yes","Yes","Yes","[Corrosive], [IMDG Transport Code is normally 6.1]","0.0005","JMPR 1970",,,,,,,"List I","[Very low risk of consumer exposure]","[Occupational exposure may occur through inhalation and dermal contact ]",,,,
"1478","ferric phosphate",,"2000",">","A3 Rat (data for ferric III sulphate)",,,,"NL","[Health: H315, H319, H335], [Environment: H412]",,"[None allocated at this time]",,"[If inhaled, iron is a local irritant to the lung and gastrointestinal tract], [Liver, cardiovascular, CNS and pancreas toxicant]","A3; B0; C3; D0; E3","No","No data","No","No","Possible","Yes","Possible","Possible","[Not explosive or oxidising]","0.8","A5","None Allocated","A5","0.8","A5",,,,"[Negligible risk to bystanders, very small risk for local residents]","[Small risk for operators wearing PPC]",,,,
"2172","benthiavalicarb isopropyl","KIF-230","2000",">","A5 Rat","4.6",">","A5 Rat, 4 hr (whole body)","NL","[Health: H317, H319, H332, H351], [Environment: H400]",,"[Carcinogen category 3: R40], [N - Dangerous for the environment: R52, R53]","[S36/37, S61]","[May cause allergic reaction], [Possible liver & thyroid toxicant]","A3; B3; C3; D0; E3","Yes","No","Possible","No","No","No","No","No","[Not explosive or oxidising]","0.1","A5 Rat, SF=100","None allocated","A5","5.0","A5 Rat, SF=100","16-70","A5 concentration dependent","List II","[No unacceptable risks to bystanders identified]","[Protective clothing should be worn], [Possible risk from dermal exposure]",,,"0.1","EU Dir 89/778/EC limit; A5"
"2131","chlorflurenol methyl","CME 74050","10000",">","L3 Rat","101.5",">","L3 Rat","U",,,"[N - Dangerous for the environment: R51, R53]","[S60]","[No further information available]","A3; B0; C0; D0; E0","No","No","No data","No","No","No","No","No","[No information available]","0.15","L3",,,,,,,,,,,,,
"2132","diethatyl ethyl","Bay NNT 6867","4000",">","F4 Rabbit","28.0",">","F4 Rat, 4 hr","U",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[Possible cardiovascular & blood toxicant]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","Possible","Possible","Yes","[No information available]",,,,,,,,,,,,,,,
"2141","polybutene",,"2000",">","F4 Rabbit",,,,"None - Not a ppp",,,"[None allocated at this time]",,"[No further information available]","A0; B0; C0; D0; E3","No","No data","No data","No","No","No","No","Yes","[No information available]",,,,,,,,,,,,,,,
"2142","phenyl mercuric acetate",,,,,,,,,,,"[T - Toxic: R24, R25, R48], [H - Handling risks: R34], [N - Dangerous for the environment: R50, R53]","[S23, S24, S25, S37, S45, S60, S61]","[Highly toxic if swallowed, inhaled or in contact with the skin], [CNS, Kidney & cardiovascular toxicant]","A0; B0; C0; D0; E1","Possible","No data","Yes","No data","Yes","No data","Yes","Yes","[IMDG Transport Code is usually 6.1], [Corrosive]",,,,,,,,,,,,,,,
"2144","sodium tetraborate pentahydrate",,,,,,,,"NL","[None allocated at this time]",,"[Reproduction risk category 2: R60/R61], [Xi - Irritant: R36]",,"[Ingestion may cause gastrointestinal problems], [Possible testes toxicant]","A0; B0; C0; D0; E3","No","Possible","Possible","No","Possible","Yes","Yes","Yes","[Non-flammable, flame retardent]",,,,,,,,,,,,,,,
"2215","ioxynil lithium",,"87","=","V3 Rat",,,,"II","[Health: H301, H312, H319, H331, H361d, H373], [Environment: H400, H410]",,"[Reproduction risk category 3: R63], [T - Toxic: R23/25], [Xn - Harmful: R21, R48/22], [Xi - Irritant: R36], [N - Dangerous for the environment: R50, R53]","[S1/2, S36/37, S45, S60, S61, S63]","[Highly toxic by ingestion and skin contact]","A0; B0; C0; D0; E0","No","Yes","Possible","No","No","No","No","Yes","[Emits toxic fumes when heated to decomposition], [IMDG Transport Code is usually 3]","0.005","A5 as ioxynil","0.04","A5 as ioxynil","0.01","A5 as ioxynil",,,,,,,,,
"2216","ioxynil sodium",,"210","=","V3 Rat",,,,"II","[Health: H301, H312, H319, H331, H361d, H373], [Environment: H400, H410]",,"[Reproduction risk category 3: R63], [T - Toxic: R23/25], [Xn - Harmful: R21, R48/22], [Xi - Irritant: R36], [N - Dangerous for the environment: R50, R53]","[S1/2, S36/37, S45, S60, S61, S63]","[Highly toxic by ingestion and skin contact]","A0; B0; C0; D0; E0","No","Yes","Possible","No","No","No","No","Yes","[Emits toxic fumes when heated to decomposition], [IMDG Transport Code is usually 3]","0.005","A5 as ioxynil","0.04","A5 as ioxynil","0.01","A5 as ioxynil",,,,,,,,,
"2378","trifenmorph","WL-8008","1000",">","V3 Rat",,,,"NL","[Health: H302], [Environment: H400, H410]",,"[Xn Harmful: - R22], [N - Dangerous for the environment: R50/R3]",,"[Slightly hazardous]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2394","metam-potassium",,"1000",">","Q3 Rat",,,,"II","[Health: H302, H314, H317], [Environment: H400, H410]",,"[Reproduction risk category 3: R63], [Xn - Harmful: R22, R43], [H - Handling risks: R31, R34], [N - Dangerous for the environment: R50, R53] ","[S1/2, S26, S36/37/39, S45, S60, S61]","[Highly toxic]","A0; B0; C0; D0; E0","Possible","Possible","Yes","No","No","No data","Yes","No","[Corrosive], [May liberate toxic gas when in contact with acids], [Not explosive or oxidising], [IMDG Transport Code is usually 8] ","0.001","A5","0.1","A5","0.001","A5",,,,,,,,,
"2395","glyphosate, isopropylamine salt","MON 0139","2000",">","A5 Rat","5.0",">","A5 Rat, 4 hr (nose only)","III","[Health: H318], [Environment: H411]",,"[Xn - Harmful: R41], [N - Dangerous for the environment: R51, R53]","[S2, S26, S39, S61 ]","[IARC group 2A carcinogen], [Possible bladder and liver toxicant]","A3; B3; C0; D0; E3","Possible","No","No","No","No","No","Yes","Yes","[IMDG Transport Code is usually 9]","0.5","A5","0.5","A5",,,,,,,,,,,
"2396","glyphosate, potassium salt",,"2000",">","A5 Rat","5.0",">","A5 Rat, 4 hr (nose only)","III","[Health: H318], [Environment: H411]",,"[Xn - Harmful: R41], [N - Dangerous for the environment: R51, R53]","[S2, S26, S39, S61]","[IARC group 2A carcinogen], [Possible bladder and liver toxicant]","A0; B0; C0; D0; E3","Possible","No","No","No","No","No","Yes","Yes","[IMDG Transport Code is usually 9]","0.5","A5","0.5","A5",,,,,,,,,,,
"2397","iminoctadine tris(albesilate)","DF-250","2000",">","L3 Rat","1.0","=","E3 Rat","III",,,"[T+ - Very toxic: R26], [Xn - Harmful: R21/22, R41], [Xi - Irritant: R37/38], [N - Dangerous for the environment: R50, R53]","[S1/2, S26, S28, S36/37/39, S38, S45, S46, S60, S61, S63]","[Highly]","A0; B0; C0; D0; E3","No data","No data","No data","No","No data","No data","Yes","Yes","[IMDG Transport Code is usually 6.1a]",,,,,,,,,,,,,,,
"2398","triclopyr butotyl",,"5000",">","A5 Rat","4.8",">","A5 Rat, 4hr (nose only)","III","[Health: H302, H317. H318, H315, H335, H336], [Handling: H226], [Environment: H411]",,"[Xn - Harmful: R22]",,"[May cause allergic skin reactions], [Possible blood, kidney & liver toxicant]","A0; B0; C0; D0; E3","No","No data","Yes","No","No","Yes","No","No","[Not explosive or oxidising]",,,,,,,,,,,,,,,
"2399","triclopyr triethylammonium",,"2000",">","Q3 Rabbit",,,,"III","[Health: H317, H319, H315, H335, H336], [Handling: H226], [Environment: H411]",,"[Xn - Harmful: R20/21/22, R41, R43], [H - Handling risks: R11, R35], [N - Dangerous for the environment: R51, R52, R53]","[S2, S26, S35, S39]","[Risk of serious damage to the eyes]","A0; B0; C0; D0; E3","No","No data","Yes","No","No","No data","Yes","Yes","[Incompatible with strong oxidising agents], [Highly flammable], [Corrosive]",,,,,,,,,,,,,,,
"2403","sodium aluminium silicate",,"2000",">","Q3 Rabbit",,,,"NL","[Health: H315, H319, H332, H335]",,"[T+ - Very toxic: R26], [Xi - Irritant: R36/R38]","[S1/2, S28, S36/37, S45, S46]","[May cause digestive tract problems], [Severe over exposure may cause death], [Very toxic by inhalation]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","Yes","Yes","[Not explosive or oxidising]","None allocated","A5","None allocated","A5","None allocated","A5","Negligible","A4",,"[Considered safe for bystanders]","[Operators may be explosed during tree application]",,,,
"2411","bromobonil",,,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2412","buthidazole","Vel-5026",,,,,,,"O/III",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No","No data","No data","No","No data","No data","No","No data","[No information available]",,,,,,,,,,,,,,,
"2414","chlorazifop propargyl","CGA 82725",,,,,,,"NL/O","[Not classified: Obsolete]",,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2416","chlorfluren methyl",,,,,,,,"NL/O","[Not classified: Obsolete]",,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2417","chlorprocarb","BAS 379H",,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[Possible liver toxicant], [May cause respiratory depression]","A0; B0; C0; D0; E0","No data","No data","No data","Possible","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2418","ciobutide",,,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2419","cloproxydim","RE-36290",,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[Toxic by ingestion]","A0; B0; C0; D0; E3","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2421","difenopenten ethyl",,,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2422","dinofenate",,,,,,,,"II (c)/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2423","dinosam","AI3-19047",,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2424","epocholeone",,,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","Yes","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2426","ethoxyfen ethyl",,,,,,,,"O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2428","fenthiaprop ethyl","Hoe 35609",,,,,,,"O/III (c)",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2429","tefuryltrione","AVH-301",,,,,,,"NL",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2430","trifopsime","Ro-13-8895",,,,,,,"NL/O",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"2431","inezin",,,,,,,,"O","[Not classified: Obsolete]",,"[Not classified: Obsolete]",,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,"List I",,,,,,
"2433","flumipropyn","S-23121",,,,,,,"NL",,,"[Not classified: Obsolete]","[Not classified: Obsolete]","[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No","No data","No data","No","Possible","[No information available]",,,,,,,,,,,,,,,
"1484","1,2-dibromoethane",,"300",,"E3 Rabbit",,,,"O","[Health: H301, H311, H315, H319, H331, H335, H350], [Environment: H411]",,"[Carcinogen category 2: R45], [T - Toxic: R23, R24, R25], [Xi - Irritant: R36, R37, R38], [N - Dangerous for the environment: R51, R53]","[S45, S53, S61]","[Possible liver and kidney toxicant], [May cause testicular damage and antispermatogenic effects], [High does may lead to death]","A0; B0; C0; D0; E0","Yes","Possible","Yes","No data","Possible","Yes","Yes","Yes","[Corrosive], [IMDG Transport Code is usually 6.1]",,,,,,,,,,"[Risk of exposure from agricultural sources is negligible], [Possible risk in some countries via consumption of contaminated drinking water]","[May be absorped through inhalation, ingestion, or the skin]",,,,
"1485","thiosultap",,,,,,,,"NL",,,"[Xn - Harmful: R21/22], [N - Dangerous for the environment: R57]","[S36, S37]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No","No","[No information available]",,,,,,,,,,,,,,,
"1486","thiosultap-monosodium",,,,,,,,"NL",,,"[Xn - Harmful: R21/22], [N - Dangerous for the environment: R57]","[S36, S37]","[No further information available]","A0; B0; C0; D0; E0","No","No data","No","No","No data","No data","No","No","[No information available]",,,,,,,,,,,,,,,
"1487","thiosultap-disodium",,,,,,,,"NL",,,"[Xn - Harmful: R21/22], [N - Dangerous for the environment: R57]","[S36, S37]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No","No","[No information available]",,,,,,,,,,,,,,,
"1488","acethion","ENT 25650 ",,,,,,,"NL",,,,,"[May cause anorexia, abdominal cramps, nausea, vomiting, diarrhea and incontinence], [May cause depression of the respiratory or cardiovascular system leading to death], [Liver and kidney toxicant]","A0; B0; C0; D0; E0","No","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1497","flucetosulfuron","LGC 42153",,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1498","metamifop","DBH-129","2000",">","L3 Rat","2.61",,"L3 Rat","NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No","Possible","[No information available]",,,,,,,,,,,,,,,
"1499","fluthiacet methyl","CGA 248757","2000",">","F4 Rat","5.05",,"L3 Rat, 4 hr","U",,,"[Xi - Irritant: R36], [N - Dangerous for the environment: R50/53]",,"[Possible liver and pancreas toxicant], [USEPA - probable human carcinogen]","A0; B0; C0; D0; E0","Yes","No data","Possible","No","No","No data","No","Yes","[No information available]",,,"0.001","F3, USA",,,,,,,"[Occupational exposure may occur through inhalation and dermal contact]",,,,
"1500","morphothion",,,,,,,,"U","[Health: H331, H311, H301], [Environment: H400, H410]",,"[T - Toxic: R23/24/25], [N - Dangerous for the environment: R50, R52]","[S1/2, S13, S45, S60, S61]","[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1520","leptophos","OMS 1438 ","800",">","F4 Rabbit","2.7",,"F4 Rat","Ia",,,"[T - Toxic: R25], [Xn - Harmful: R21, R39], [N - Dangerous for the environment: R50/53]",,"[Highly toxic]","A0; B0; C0; D0; E0","No","No data","Yes","Yes","Yes","No data","No data","Yes","[Avoid generation of dust], [IMDG Transport Code is 6.1]",,,,,,,,,"List I",,"[May occur through dermal contact and inhalation of dust and sprays]",,,,
"1524","paraquat dichloride",,,,,,,,"II",,,"[T+ - Very toxic: R26], [T - Toxic: R24/25, R48/25], [Xi - Irritant: R36/37/38], [N - Dangerous for the environment: R50, R53]","[S1/2, S22, S28, S36/37/39, S45, S60, S61]","[Potential liver, kidney, stomach, intestine and respiratory system toxicant], [May damage lungs if inhaled]","A0; B0; C0; D0; E0","No","No","Possible","No","No","Yes","Yes","Yes","[Not explosive or oxidising], [IMDG Transport Code is usually 6.1]","0.004","A4 Dog, SF=100","0.005","A4 Dog, SF=100","0.0004","A4 Dog, SF=100","0.5","A5",,"[No unacceptable risks to bystanders identified]","[No unacceptable risks to operators or other workers identified]",,,,
"1529","potassium iodide",,"2000",">","A5 Rat",,,,"NL","[None allocated at this time]",,"[Reproduction risk category 2: R61], [Xn - Harmful: R42, R43], [Xi - Irritant: R36, R38]","[S26, S36, S37, S39, S45]","[Thyroid toxicant, may cause hypothyroidism], [Large oral doses may cause irritation to the gastrointestinal tract]","A0; B0; C0; D0; E0","Possible","No","Yes","No data","No data","Possible","No","Yes","[Not explosive or oxidising], [Hygroscopic], [IMDG Transport Code is usually 3]","None allocated","A5","None allocated","A5","0.0084","A5 as AASE","10","A3 default",,"[Acceptable risks to bystanders considering proposed uses]","[Risks identified - PPE/PPC essential]",,,,
