ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"1375","paraffin oil (C17-C31) (2) ","NEU 1130 1","paraffine oil","paraffinic oil","white mineral oil","saturated aliphatic hydrocarbons","crop oil",,,
"1376","paraffin oil (C11-C25) (4a)",,"banol 50","paraffinic oil","white mineral oil","paraffine oil","crop oil",,,
"1377","paraffin oil (3 Not NEU)","NEU 11301","banol 185","paraffine oil","paraffinic oil","white mineral oil","crop oil",,,
"1380","propisochlor",,,,,,,,,
"1381","menadione","MSB","menadione sodium bisulphite","menadione sodium bisulfite","menadione sodium hydrogen sulfgite","vikasol trihydrate","vitamin K3",,,
"1384","N-methylneodecanamide",,"MNDA","N-methyl neodecanamide",,,,,,
"1395","calcium carbide",,"calcium acetylide","carburo calcico ",,,,,,
"1396","quartz sand",,"silica","silox","siderite","rock crystal","silicon oxide","silicon dioxide",,
"1397","methyl nonyl ketone",,"MNK","2-hendecanone","rue ketone","2-oxoundecane ",,,,
"1398","denatonium benzoate","ASU 90 820 P","lidocaine benzyl benzoate","denathonium benzoate",,,,,,
"1422","nitrofen","FW-925","NIP","niclofen","TOK","nitrophen",,,,
"1441","dibromochloropropane","OS1897","DBPC","oxy DBCP ","dibromo-3-chloropropane","BBC12",,,,
"1449","isopyrazam","SYN 520453","A15149W",,,,,,,
"1458","barium polysulphide",,"polybarit ","barium polysulfide","barium polysulfide","bologna stone",,,,
"1459","azoxybenzene","HSDB 2861","fenazox","azoxybenzide","azobenzene","HSDB 2861",,,,
"1460","phosnichlor",,"nichlorfos","dicapthion","isochlorothion",,,,,
"1461","cuprobam","SHA 483300","tricopper",,,,,,,
"1462","methacrifos","CGA 20168 ",,,,,,,,
"1466","peroxyacetic acid",,"PAA","ethaneperoxoic acid","acetyl hydroperoxide",,,,,
"1475","benzoic acid",,"dracylic acid","benzeneformic acid","flowers of benjamin",,,,,
"1476","chlorthion","BAY 22/190 ","methyl chlorothion ","chlortion","compd 22/190",,,,,
"1477","fentin chloride","HOE 2872","fenolovo chloride","phenostat-Cl","chlorotriphenyltin","TPTCl",,,,
"1478","ferric phosphate",,"iron phosphate","E33","ferric orthophosphate",,,,,
"1484","1,2-dibromoethane",,"EDB","glycol bromide","sym-dibromide","ethylene dibromide","glycol dibromide",,,
"1485","thiosultap",,"dimehypo",,,,,,,
"1486","thiosultap-monosodium",,"monosultap",,,,,,,
"1487","thiosultap-disodium",,"thiosultap sodium","molosultap","shachongdan","bisultap","dimehypo",,,
"1488","acethion","ENT 25650 ","mercaptoacetic acid","ethoxyphas","ethoxyphos","ethoxyfos","azethion",,,
"1497","flucetosulfuron","LGC 42153","flucetsulfuron",,,,,,,
"1498","metamifop","DBH-129","K-12974",,,,,,,
"1499","fluthiacet methyl","CGA 248757","KIH 9201",,,,,,,
"1500","morphothion",,"morpholine","morphotox","morfothion",,,,,
"1520","leptophos","OMS 1438 ","VCS 506","MBCP",,,,,,
"1524","paraquat dichloride",,"methyl viologen ",,,,,,,
"1529","potassium iodide",,"iodide of potash","KI","PIMA","FLPS",,,,
"1530","potassium thiocyanate",,"thiocyanic acid","KSCN",,,,,,
"1532","2,4,5-trichlorophenoxyacetic acid ",,"2,4,5-T","trioxone","2,4,5-T acid",,,,,
"1533","sebuthylazine","GS 13528","LS-155161",,,,,,,
"1535","isodrin","ENT 19244","Experimental insecticide 711 ","Compound 711","SD 3418","Isomer of aldrin",,,,
"1537","demeton","ENT 17295","E 1059","mercaptophos",,,,,,
"1539","mepiquat",,"mepiquat ion",,,,,,,
"1540","glufosinate","HOE 00661","phosphinothricin ","glufosinate ion","AE F035956","HOE 39866",,,,
"1541","diquat",,"diquat ion","reglone","reglon",,,,,
"1544","demeton-O-methyl","ENT 18862","methyl-mercaptophos",,,,,,,
"1546","propamocarb","SN 39744",,,,,,,,
"1548","fosetyl",,"efosite",,,,,,,
"1549","methoprotryne","G 36393","methoprotryn","metoprotryne",,,,,,
"1550","flupoxam","MON 18500","KNW-739",,,,,,,
"1551","asulam","M and B 9057","MB 9057",,,,,,,
"1552","bensulfuron","IN-R9419","free acid bensulfuron-methyl",,,,,,,
"1553","flupyrsulfuron",,,,,,,,,
"1554","iodosulfuron",,,,,,,,,
"1556","tribenuron","IN-R9803","thiameturon","metameturon",,,,,,
"1557","triflusulfuron",,,,,,,,,
"1558","pyraflufen",,,,,,,,,
"1559","propoxycarbazone",,,,,,,,,
"878","paraffin oil (C15-C30) (4b)",,"banol 50","paraffinic oil","white mineral oil","paraffine oil","crop oil",,,
"965","paraffin oil (C11-C30) (4c)",,"banol 50","paraffinic oil","white mineral oil","paraffine oil","crop oil",,,
"1014","triapenthenol","NTN 811","triazethanol","triazethan",,,,,,
"1034","buminafos","CKB 1028A ","aminophon",,,,,,,
"1334","aramite","ENT16519","aratron","niagaramite","compound 88R ","88-R",,,,
"1510","asomate",,"azomat","TDDA","arsenic dimethyldithiocarbamate","TTCA","arsinetriyl tris(dimethyldithiocarbamate)",,,
"1561","chloretazate",,"karetazan","Dowco 453","haloxyfop ethoxethyl ester",,,,,
"1562","chlorphonium chloride",,"phosfon","CBBP",,,,,,
"1563","dimexano",,"dimexan","EXD","dixanthogen",,,,,
"1565","fosthietan","CL 64475","AC 64475","ENT 27873",,,,,,
"1570","difunon",,"EMD-IT 5914",,,,,,,
"1572","tebupirimfos","Bay Mat 7484","tebupirimphos","phostebupirim","HSDB 7136",,,,,
"1574","ethanamine","HSDB 7282","PT807-HCl","MBTA",,,,,,
"1575","methylarsonic acid",,"MAA","methane arsonic acid","monomethylarsonic acid ","methylarsinic acid",,,,
"1577","furilazole","MON 13900",,,,,,,,
"1578","flufenpyr-ethyl","S 3153","S-3153 Technical ",,,,,,,
"1579","cloprop",,"3-CPA","metachlorphenprop ","3CP",,,,,
"1580","oxaziclomefone",,"OAC","MY-100",,,,,,
"1581","pyriminobac-methyl","KIH-6127","KUH-920",,,,,,,
"1582","fluxofenim","CGA 133205","benzacetonitrile",,,,,,,
"1583","oxabetrinil","CGA 92194",,,,,,,,
"1586","amidithion","ENT 27160 ","medithionat ","C 2446",,,,,,
"1587","bufencarb","RE-5353","ENT-27127","Ortho 5353","metalkamate","BUX2",,,,
"1589","chlorfenethol","ENT 9624","BCPE","DMC","DCPC",,,,,
"1590","chlorfensulphide",,"chlorfensulfide","azosulfide","CPAS",,,,,
"1592","cloethocarb","BAS 263I",,,,,,,,
"1594","dimethrin","ENT 21170 ","dimetrin","dimethrine","SHA 034101",,,,,
"1595","dioxabenzophos",,"dioxabenzofos","fenphosphorin","salithion",,,,,
"1596","empenthrin","S 2852 Forte","d-empenthrin ",,,,,,,
"1597","ethoate-methyl","ENT 25506 ","dimethoate ethyl","B/77",,,,,,
"1599","kelevan","GC-9160",,,,,,,,
"1613","dalapon",,"2,2-DPA",,,,,,,
"1614","10,10'-oxybisphenoxarsine","HSDB 6375","OBPA","bis(10-phenoxyarsinyl) oxide","phenoxarsine oxide",,,,,
"1618","2,2-dibromo-3-nitrilopropionamide","XD-1603","DBNPA",,,,,,,
"1622","primisulfuron methyl","CGA 136872",,,,,,,,
"1624","potassium bicarbonate",,"potassium acid carbonate","potassium hydrogen carbonate",,,,,,
"1642","alpha-hexachlorocyclohexane","ENT 9232","alpha-HCH","alpha-benzenehexachloride","alpha-BHC","alpha-lindane",,,,
"1648","ametoctradin","BAS 650F","LS 0115",,,,,,,
"1649","methiozolin","MRC-01","metiozolin",,,,,,,
"1650","tetramethylfluthrin",,,,,,,,,
"1651","terbuchlor",,"LS-8364",,,,,,,
"1652","bicyclopyrone",,,,,,,,,
"1653","fenoxasulfone","KIH-1419","fenoxasulphone",,,,,,,
"1654","metazosulfuron",,,,,,,,,
"1655","penflufen","BYF-14182",,,,,,,,
"1656","pyrametostrobin",,,,,,,,,
"1657","pyraoxystrobin","SYP-3343",,,,,,,,
"1658","tebufloquin",,,,,,,,,
"1659","valifenalate","IR5885","valiphenal",,,,,,,
"1660","plifenate","MB 6046","acetofenate","penfenate","enfenate","MEB-6046",,,,
"1661","alpha-endosulfan",,"endosulfan I",,,,,,,
"1662","cyantraniliprole","DPX-HGW86",,,,,,,,
"1663","indaziflam",,,,,,,,,
"1664","propyrisulfuron",,,,,,,,,
"1665","sedaxane",,,,,,,,,
"1666","ipfencarbazone","HOK-201",,,,,,,,
"1667","glufosinate-P",,"phosphinothricin-P",,,,,,,
"1668","aminocyclopyrachlor","DPX-MAT28","KJM44",,,,,,,
"1669","sulfoxaflor","DE-208","X11422208","XR-208","XDE-208",,,,,
"1670","fenridazon",,,,,,,,,
"1672","isofenphos-methyl",,"methyl-isofenphos","methyl-isofenfos","isofenfos-methyl","methyl isp",,,,
"1673","allyxycarb","BAY 50282","APC","hydrol","OMS 773","Bayer A546",,,,
"1674","butonate","ENT 20852","butylchlorophos","tribufon","T-113",,,,,
"1677","propaphos","NK-1158","propafos",,,,,,,
"1678","schradan","ENT 17291 ","octamethyl","systophos","octamidophos",,,,,
"1679","thiocarboxime","AI3-27613","WL 21959","SD 17250",,,,,,
"1680","cycloheximide",,"naramycin","U-4527","isocycloheximide ",,,,,
"1681","benclothiaz","CGA 235860","MKI 245","SureCN26420",,,,,,
"1682","butamifos","S-2846","metacrefos",,,,,,,
"1683","clomeprop","MY-15","CMP",,,,,,,
"1684","cumyluron","JC-940",,,,,,,,
"1685","cyenopyrafen","NC-512 ",,,,,,,,
"1687","tolfenpyrad","OMI 88",,,,,,,,
"1688","amiprofos-methyl","NTN 5006","BAY NTN 6867","NTN 2975","NTN 6867","amiprophos-methyl","APM",,,
"1689","amiton","ENT 24980-X","R-1158 ","DSDP","Tetram",,,,,
"1692","atraton",,"G 32293 ","atroton",,,,,,
"1697","bencarbazone","TM-435","HWH 4991",,,,,,,
"1719","prohexadione",,"DOCHC",,,,,,,
"1721","isolan","ENT 19060","isolane","Geigy G-23611",,,,,,
"1723","metolcarb",,"MTMC","metholcarb","dicresyl","DRC 3341",,,,
"1725","chloropon",,"2,2,3-TPA",,,,,,,
"1726","butopyronoxyl",,"BMOO","indalone ",,,,,,
"1730","zinc phosphide",,"zincphos","zinc diphosphide",,,,,,
"1732","1-decanol",,"decyl alcohol","capric alcohol","n-decyl alcohol","1-hydroxydecane","n-decanol",,,
"1738","potassium phosphonates","LBG 01F34","phosphite","phosphonate","KPP","potassium phosphite",,,,
"1823","limestone",,"agricultural limestone ","marble",,,,,,
"2182","calcium acid methanearsonate",,"methanearsonic acid, calcium salt ","CAMSA","CAMA","calcium hydrogen methanearsonate ",,,,
"2183","disodium methanearsonate",,"disodium methyl arsonate","DSMA",,,,,,
"2002","fluxapyroxad","BAS 700F","BAS 700 000 F","Xemium",,,,,,
"2010","fenpyrazamine","S-2188",,,,,,,,
"2172","benthiavalicarb isopropyl","KIF-230","benthiavalicarb","HSDB 7501",,,,,,
"2131","chlorflurenol methyl","CME 74050","methyl chlorflurenol","chlorflurecol-methyl","SAG 109","CF-125","EMD 7301",,,
"2132","diethatyl ethyl","Bay NNT 6867","Hurclules 22234",,,,,,,
"2141","polybutene",,,,,,,,,
"2142","phenyl mercuric acetate",,"PMA","phenylmercuric acetate",,,,,,
"2144","sodium tetraborate pentahydrate",,"sodium borate","sodium tetraborate","disodium tetraborate","borax decahydrate ","borax",,,
"2215","ioxynil lithium",,"ioxynil-Li",,,,,,,
"2216","ioxynil sodium",,"ioxynil-Na",,,,,,,
"2378","trifenmorph","WL-8008","triphenmorphe",,,,,,,
"2394","metam-potassium",,,,,,,,,
"2395","glyphosate, isopropylamine salt","MON 0139","glyphosate-isopropyl ammonium","glyphosate","Isopropylamine glyphosate",,,,,
"2396","glyphosate, potassium salt",,"glyphosate","potassium glyphosate",,,,,,
"2397","iminoctadine tris(albesilate)","DF-250","Iminoctadine albesilate",,,,,,,
"2398","triclopyr butotyl",,"butoxyethyl triclopyr",,,,,,,
"2399","triclopyr triethylammonium",,"triclopyr triethylamine ",,,,,,,
"2403","sodium aluminium silicate",,"sodium aluminosilicate","zeolite type A","aluminium sodium silicate","silicic acid, aluminium sodium salt",,,,
"2411","bromobonil",,"3,5-dibromo-4-(tetrahydrofurfuryloxycarbonyloxy)benzonitrile",,,,,,,
"2412","buthidazole","Vel-5026",,,,,,,,
"2414","chlorazifop propargyl","CGA 82725","chloroazifop-propynyl",,,,,,,
"2416","chlorfluren methyl",,,,,,,,,
"2417","chlorprocarb","BAS 379H","chlorprocarbe",,,,,,,
"2418","ciobutide",,"AC1K5417",,,,,,,
"2419","cloproxydim","RE-36290","cloproxydime","cloproproxydim",,,,,,
"2421","difenopenten ethyl",,"KK-80",,,,,,,
"2422","dinofenate",,"LS-51930",,,,,,,
"2423","dinosam","AI3-19047","DNOSAP","DNAP",,,,,,
"2424","epocholeone",,"propionylbrassinolide",,,,,,,
"2426","ethoxyfen ethyl",,"ethoxycarbofen ethyl",,,,,,,
"2428","fenthiaprop ethyl","Hoe 35609","fentiaprop",,,,,,,
"2429","tefuryltrione","AVH-301",,,,,,,,
"2430","trifopsime","Ro-13-8895","NR-70",,,,,,,
"2431","inezin",,"ESBP","UNII-139T2EY20M",,,,,,
"2433","flumipropyn","S-23121",,,,,,,,
"2434","furyloxyfen",,,,,,,,,
"2435","heptopargil","GL-1016","LS-43707",,"EGYT 2250",,,,,
"2436","inabenfide","CGR-811 ","BRN 5351697",,,,,,,
"2437","isonoruron","BAS 2103H ","tricuron",,,,,,,
"2438","isopyrimol","EL-509",,,,,,,,
"2439","isoxapyrifop","HOK-1566","HOK-868","RH-0898",,,,,,
"2441","metobenzuron",,,,,,,,,
"2443","morfamquat dichloride",,,,,,,,,
"2445","piproctanyl bromide","ACR-1222","glyphosate diammonium","Ro 06–0761/000",,,,,,
"2446","profluazol","DPX-TY-029 ",,,,,,,,
"2447","prynachlor","BAS 2900H ","chloretin",,,,,,,
"2455","hexylthiofos",,"hexylthiophos",,,,,,,
"2456","myclozolin","BAS 463 03F",,,,,,,,
"2457","thicyofen","PH 51-07","DU 510311",,,,,,,
"2458","etinofen",,,,,,,,,
"2459","silver thiosulphate",,"STS","Florissant 100","silver sodium thiosulfate",,,,,
"2460","pyriofenone","IKF-309",,,,,,,,
"2595","isocarbamide","BAY 94871","isocarbamid","BAY MNF 0166",,,,,,
"2765","isoxachlortole","RPA 20135",,,,,,,,
"2515","difenzoquat metilsulfate","AC 84777","difenzoquat methyl sulphate","difenzoquat methyl sulfate","CL84777","BAS 450H","difenzoquat metilsulphate",,,
"2516","disodium phosphonate","IKF-916 25 SC","IBE 3887",,,,,,,
"2540","kadethrin","ENT 29117","kadethrine",,,,,,,
"2541","formparanate","ENT 27305 ",,,,,,,,
"2542","azothoate",,,,,,,,,
"2544","calcium arsenate",,"Tricalcium diarsenate",,,,,,,
"2553","lead arsenate",,"lead hydrogen arsenate","acid orthoarsenate",,,,,,
"2555","silafluofen","HOE 084498","salifluofen","eflusilanat","silanopham","AEF084498","HOE 084498","HOE 4098",,
"2556","xylylcarb","S-1046","MPMMC","3,4-dimethylphenyl methylcarbamate","S-21046",,,,,
"2557","anisuron",,"anisurone",,,,,,,
"2558","fenitropan","EGYT 2248",,,,,,,,
"2559","diclocymet","S-2900",,,,,,,,
"2562","oxydisulfoton","BAY 23323","DEPD","disulfoton sulfoxide ",,,,,,
"2563","profluthrin","S-1840",,,,,,,,
"2564","chlornitrofen","MO-338","CNP",,,,,,,
"2566","trichlamide","NK 483",,,,,,,,
"2567","diofenolan","CGA 059205",,,,,,,,
"2574","dinopenton",,,,,,,,,
"2575","dinosulfon","MC 1143",,,,,,,,
"2576","diamidaphos","Dowco 169","diamidafos","diamidfos",,,,,,
"2578","trifenofos","ENT 29118 ","RH-218","RH-8218","trifenophos",,,,,
"2577","silver sodium thiosulphate",,"sodium silver thiosulphate","sodium silver thiosulfate","silver sodium thiosulfate","SST",,,,
"2608","flutianil","OK-5303",,,,,,,,
"2612","coumoxystrobin","SYP 3375","SYP-3200",,,,,,,
"2613","flufenoxystrobin","syp-3759","fujunmanzhi",,,,,,,
"2614","fenaminstrobin","SYP-1620","diclofenoxystrobin","fenaminostrobin","xiwojunan",,,,,
"2615","triclopyricarb","SYP 7017","ivdingjunzhi","triclopyricarbe","tricyclopyricarb",,,,,
"2616","pyrisoxazole","SYP-48","dingjunezuo","SYP-Z048",,,,,,
"2617","heptafluthrin",,,,,,,,,
"2903","trioxymethylene",,"1,3,5-trioxane","S-trioxane","metaformaldehyde","trioxin","paraformaldehyde","aldeform","trioxymethylen",
"2618","oxathiapiprolin","DPX-QGU42","QGU42",,,,,,,
"2619","pyriminostrobin","SYP-11277","mimanan",,,,,,,
"2620","flupyradifurone","BYI 02960",,,,,,,,
"2621","benzovindiflupyr",,"Solatenol",,,,,,,
"2622","fenquinotrione","KUH-110","KIH-3653",,,,,,,
"2623","momfluorothrin","S-1563",,,,,,,,
"2624","iofensulfuron",,,,,,,,,
"2625","iofensulfuron sodium",,,,,,,,,
"2626","coumethoxystrobin",,"jiaxiangjunzhi",,,,,,,
"2627","cyclopyrimorate","SW-065","H-965",,,,,,,
"2628","mandestrobin","S-2200",,,,,,,,
"2629","tiafenacil","DCC-3825",,,,,,,,
"2631","halauxifen-methyl","DE-729","XDE-729","XR-729","halauxiphen-methyl",,,,,
"2632","cyclaniliprole","IKI-3106",,,,,,,,
"2633","methiopyrsulfuron","HNPC-C9908","MPS",,,,,,,
"2634","brofluthrinate",,"flubrocythrinate",,,,,,,
"2635","1-(4-chloro-1,3-dihydro-1,3-dioxo-2H-isoindole-2-yl)-cyclohexanecarboxamide","AC 97377","CL 94377",,,,,,,
"2636","afidopyropen","ME5343","coprapidpen",,,,,,,
"2637","ametridione","BAY SSH 0860","SSH 0860","AG-H-13596","BRN 5041086",,,,,
"2638","ANTU",,"alpha-naphthylthiourea",,,,,,,
"2639","athidathion","G13006",,,,,,,,
"2640","bisthiosemi","NK 15561",,,,,,,,
"2641","brompyrazon","BAS 2430H","bromopyrazone",,,,,,,
"2642","bromuron","FL 173","bromfenuron","N'-(4-bromophenyl)-N,N-dimethylurea",,,,,,
"2643","butathiofos","Dowco 429","XRD 429",,,,,,,
"2644","butenachlor","KH-218",,,,,,,,
"2645","O,O-dimethyl alpha-(2,4-dichlorophenoxyacetoxy)ethylphosphonate","HW02","HW-02",,,,,,,
"2646","buthiobate","S-1358",,,,,,,,
"2648","fufenozide","JS-118","furan tebufenozide ","fuxian",,,,,,
"2659","(E)-2-(2-(2-(2,3-dichlorophenylamino)-6-trifluoromethylpyrimidin-4-yloxymethyl)phenyl)-3-methoxyacrylate","SYP-10913",,,,,,,,
"2661","gliftor",,"glitor",,,,,,,
"2662","halosafen","AC1L4H8Q","AC1Q38DI","LS-26096","PP 748","PR-21",,,,
"2663","haloxydine","PP 493","AC1L2PRM",,,,,,,
"2665","tioxazafen",,,,,,,,,
"2666","napropamide-M",,,,,,,,,
"2667","picarbutrazox","NF-171",,,,,,,,
"2668","triflumezopyrim","DPX-RAB55",,,,,,,,
"2669","picloram-trolamine",,"Picloram triethanolamine salt ",,,,,,,
"2670","quinclorac-dimethylammonium",,,,,,,,,
"2671","izopamfos",,"izopamphos","isopamphos","izopopamfos",,,,,
"2672","tralocythrin","AI3-29421",,,,,,,,
"2673","picloram-dimethylammonium",,"Picloram, dimethylammonium salt",,,,,,,
"2677","flufiprole",,"rizazole","butene-fipronil","butylene-fipronil",,,,,
"2678","monosulfuron",,,,,,,,,
"2679","fuphenthiourea",,"fufenthiourea",,,,,,,
"2680","monosulfuron-methyl",,"monosulfuron-ester",,,,,,,
"2682","dufulin",,,,,,,,,
"2684","pyribambenz-propyl","ZJ0273",,,,,,,,
"2685","pyribambenz-isopropyl","ZJ0272",,,,,,,,
"2688","QRD-460",,"alpha-terpinene","terpenoid blend QRD 460",,,,,,
"2689","COS-OGA",,"Chitosan",,,,,,,
"2696","acetoprole","RPA 115782","SureCN25897",,,,,,,
"2697","methyl (((1-(5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrophenyl)-2-methoxyethylidene)amino)oxy)acetate","AKH-7088",,,,,,,,
"2698","allyl alcohol",,"allylic alcohol","3-hydroxypropene","vinyl carbinol",,,,,
"2699","alorac",,"(Z)-2,3,5,5,5-pentachloro-4-oxopent-2-enoic acid",,,,,,,
"2700","amibuzin","DIC 3202",,,,,,,,
"2701","amidochlor","MON 4620","MON 4621","CP-76 963",,,,,,
"2702","amidothioate","Nk-11",,,,,,,,
"2704","barium carbonate",,"witherite","barium monocarbonate",,,,,,
"2705","benzadox","MC0035","S6175",,,,,,,
"2706","benzadox ammonium",,,,,,,,,
"2707","benzamacril",,"2-cyano-3-(Nmethylbenzylamino)acrylic acid",,,,,,,
"2708","benzamacril isobutyl",,,,,,,,,
"2709","benzamorf","BAS 276F",,,,,,,,
"2710","benzipram","S-18 510",,,,,,,,
"2711","benzofluor","MBR 18337",,,,,,,,
"2712","bethoxazin","R 102622","bethoxazine",,,,,,,
"2713","biopermethrin","NRDC 147","3-phenoxybenzyl (1R,3S)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate","permethrin-B","1R-trans-permethrin","RU 22090","D-trans-permethrin",,,
"2715","1,1-bis(4-chlorophenyl)-2-ethoxyethanol","Geigy 337","G 23 645",,,,,,,
"2716","bis(methylmercury) sulphate","B4992","LS-89850",,,,,,,
"2717","bromfenvinfos","IPO-62","bromofenvinphos","bromofenvinfos","bromfenvinfos",,,,,
"2718","dimethyl(4-piperidinocarbonyloxy-2,5-xylyl)sulfonium toluene-4-sulfonate","BTS 44584",,,,,,,,
"2719","buthiuron","MET 1489",,,,,,,,
"2721","cambendichlor","Vel 4207",,,,,,,,
"2722","carbamorph","MC 833",,,,,,,,
"2723","carbasulam","M&B 9555",,,,,,,,
"2725","carboxazole","SSH-42",,,,,,,,
"2726","N-(3-chloro-2,6-dimethylphenyl)-2-methoxy-N-(tetrahydr-2-oxo-3-furanyl)acetamide","CGA 80000",,,,,,,,
"2727","chloranocryl","FMC 4556","dicryl",,,,,,,
"2728","chlorazine","G 25804","chlorpromazine","Geigy 444E","G 444E","aminazine","fenactil",,,
"2729","chlorbicyclen","Hercules 426","NSC 41891",,,,,,,
"2730","chloreturon",,,,,,,,,
"2731","chlorfenazole","CUR 616",,,,,,,,
"2732","chlorfluazole","NC 3363",,,,,,,,
"2734","chloroxynil",,,,,,,,,
"2735","chlorprazophos","HOX 2709","BAY-Hox 2709",,,,,,,
"2736","chlorquinox",,"tetrachloroquinoxaline","chloroquinox",,,,,,
"2738","cliodinate","ASD 2288",,,,,,,,
"2739","clofop","HOE 22870","HOE 41004",,,,,,,
"2740","clofop-isobutyl",,"HOE 22870",,,,,,,
"2741","copper bis(3-phenylsalicylate)",,"copper 3-phenylsalicylate",,,,,,,
"2742","coumithoate",,,,,,,,,
"2743","credazine","H 722","SW-6701","SW-6721","NIA 20439",,,,,
"2744","m-cumenyl methylcarbamate","AC 5727","UC 10854","ENT 25500","OMS 15","phenol, 3-(1-methylethyl)-, methylcarbamate ",,,,
"2745","cyanatryn","WL 63611",,,,,,,,
"2746","cyanthoate","M1568","TH-427-1",,,,,,,
"2749","cypendazole","DAM 18654","BAY 6233","BAY DAM 18654",,,,,,
"2750","cyprazine","S 6115",,,,,,,,
"2751","cypromid","S 6000",,,,,,,,
"2752","DAEP",,"amiphos",,,,,,,
"2753","defenuron","IPO 4328","NSC 10989",,,,,,,
"2755","demephion",,"methyl-demeton-methyl","demefion",,,,,,
"2756","demephion-O",,"methyl-demeton-methyl",,,,,,,
"2757","demephion-S",,"methyl-demeton-methyl",,,,,,,
"2760","dinex","DN-111","pedinex","DNOCHP","ENT 157",,,,,
"2761","dinex-diclexine","ENT 30838","pedinex",,,,,,,
"2762","dinoseb acetate","HOE 02904","DNBPA",,,,,,,
"2763","isouron",,,,,,,,,
"2764","dipyrithione","OSY-20",,,,,,,,
"2766","pyrazolynate",,"pyrazolate",,,,,,,
"2767","disul",,"SES","2,4-DES","sesone",,,,,
"2768","disul-sodium",,"SES-Na","2,4-DES-Na","sesone sodium","crag herbicide",,,,
"2770","drazoxolon","PP781",,,,,,,,
"2771","etacelasil","CGA 13586","etacelasal",,,,,,,
"2772","etem","UCP/21","ethylenethiuram nonosulfide",,,,,,,
"2774","ethylene dichloride",,"EDS",,,,,,,
"2776","fenasulam","SSH-60",,,,,,,,
"2777","fenfluthrin","NAK 1654","BAY Nak 1654",,,,,,,
"2778","fenoprop-butotyl",,,,,,,,,
"2779","fenpirithrin","Dowco 417",,,,,,,,
"2780","fluenetil","M 2060","fluenethyl","TH 3671",,,,,,
"2781","isofetamid","IKF-5411",,,,,,,,
"2783","furconazole","LS 840608",,,,,,,,
"2784","furconazole-cis","LS 840606","RPJ-862C","cis-furconazole",,,,,,
"2785","furethrin",,,,,,,,,
"2786","fosmethilan","NE-79 168",,,,,,,,
"2787","flupropadine","M&B 36892",,,,,,,,
"2788","flupropadine hydrochloride",,,,,,,,,
"2789","fluothiuron","BAY KUE 2079A","KUE 2079a",,,,,,,
"2790","flupropacil","UUC-C4243",,,,,,,,
"2791","fluorbenside","HRS 924","RD 2454","HSDB 1539",,,,,,
"2792","flufenprox","ICIA5682","PP 682","ICI-A5682",,,,,,
"2794","glyodin",,"Grag Fruit Fungicide 341",,,,,,,
"2795","glyphosine","CP 41845",,,,,,,,
"2796","halacrinate","CGA 30599",,,,,,,,
"2797","hexachloroacetone","GC 1106","hexachoracetone","hexachloro-2-propanone","HCA","perchloroacetone",,,,
"2798","tiadinil",,,,,,,,,
"2804","hyquincarb","Hoe 25682",,,,,,,,
"2805","2-imidazolidone",,"ethyleneurea",,,,,,,
"2806","iodobonil",,,,,,,,,
"2807","IPSP","PSP-204","AI3-27478","BRN 1969660","PSP","aphidan",,,,
"2808","isamidofos","Hoe 36275","isamidophos",,,,,,,
"2809","isocil",,"DuPont Herbicide 82","Isoprocil",,,,,,
"2810","isomethiozin","BAY DIC 1577",,,,,,,,
"2811","isopamphos",,"izopamfos","izopamphos","isopamfos",,,,,
"2812","isothioate","Z-7272","MITP","Hodson insecticide",,,,,,
"2813","lythidathion","GS 12968","NC 2962","ENT 27238",,,,,,
"2814","malonoben","GCP-5126","S 15126",,,,,,,
"2815","mebenil","BAS 305F","BAS 3050F","BAS 3053F",,,,,,
"2816","mecarphon","MC 2420",,,,,,,,
"2817","medinoterb",,,,,,,,,
"2818","medinoterb acetate","P 1488","MC 1488",,,,,,,
"2821","metazoxolon","PP395",,,,,,,,
"2822","methiuron","MH 090",,,,,,,,
"2823","methocrotophos","C 2307","ENT 27625","methocrotofos",,,,,,
"2825","methoxyphenone","NK-049",,,,,,,,
"2827","methyldymron","K-1441","SK-41",,,,,,,
"2829","nickel bis(dimethyldithiocarbamate)","M-1","organic nickel","DDC-Ni",,,,,,
"2830","2-(octylthio)ethanol","R-874",,,,,,,,
"2831","oxapyrazon",,,,,,,,,
"2832","oxapyrazon-sodium","BAS 3380H","Oxamic acid, (5-bromo-1,6-dihydro-6-oxo-1-phenyl-4-pyridazinyl)-, monosodium salt",,,,,,,
"2833","oxapyrazon-dimolamine","BAS 350H","oxapyrazon-(2-hydroxyethyldimethylammonium)",,,,,,,
"2834","oxydeprofos","Bayer 23655","ESP","S 410",,,,,,
"2835","perfluidone","MBR-8251","flamprop-m-methyl","SB 1528",,,,,,
"2836","1-(4-chlorophenyl)-3-(2,6-dichlorobenzoyl)urea","PH 60-38","OMS 1803",,,,,,,
"2837","phenisopham","SN 58132",,,,,,,,
"2839","phenylmercury nitrate",,,,,,,,,
"2840","phosdiphen","MTO-460","fosidifen",,,,,,,
"2841","phosfolan","EI 47031","ENT 25830","fosfolan",,,,,,
"2842","pindone",,"pivaldione","pival",,,,,,
