ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"492","omethoate","ENT 25776","500000","A5","Miscible","L3 Acetone","Miscible","L3 Methanol",,,,,"-28","L3 Solidifies","135","V3",,,"128","L3","-0.9","A5","19.0","A5","4.62E-09","V3",,"0.1","A5","0.1","A5","0.6","A5","14","B5",,,,,"EU 2017 dossier Lab studies Dt50 range 0.1-0.3 days, DT90 range 0.1-1.2 days, Soils=3","0.53","41.3","A5","EU dossier Kd range 0.20-0.99 mL/g, Koc range16-87 mL/g, Soils=3",,,,,,,"Stable","B4",,"17","B5",,"4.5","K4",,,,,,"1.7","R4","Published literature RL50 range 1.3-2.1 days, wheat, various matrices, n=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.32","B5","Colourless liquid","[Neutral soln: 194.4nm=6366.1], [Acid soln: 207.5nm=2401.2], [Basic soln: 233.5nm=3020.7]","A5",,,"2.73242648425385","0.117027839197427"
"624","terbutryn","GS 14260","25","A5","220000","L3 Acetone","9000","L3 Hexane","130000","L3 n-Octanol","220000","L3 Methanol","104","L3",,,,,,,"3.66","A5","0.13","A5","1.50E-03","L3",,"74","K4","74","K4",,,"52","H4",,,,,"Other sources: DT50 42 days (DW4); 14-50 days (Q3 lab aerobic)",,"2432","A5","EU dossier, 2 values 2000 & 2863 mL/g","30.7","518","1.10","A5","EU dossier Kf range 4.3-109.9 mL/g, Kfoc range 392-605 mL/g, 1/n range 1.01-1.35, Soils=5",,"0.5","Q2",,"Stable","A5","Stable pH 5 to pH 9","60","Q2","27","K3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.3","L3","Weak base","1.12","L3","White or colourless crystalline powder",,,,,"2.20621443108894","0.103885350702277"
"642","thiram","ENT 987","18.0","A5","8530","A5 Ethyl acetate","21000","A5 Acetone","93","A5 Hexane","8300","A5 Xylene","145","A5","Decomposes before boiling","A5","165","A5","Not expected to self ignite; Not highly flammable","A5","1.84","A5","2.0E-02","A5","1.39E-04","A5",,"4.89","A5","4.89","A5","17.7","A5","15","G4",,,,,"EU RAR 2016: lab studies DT50 range 2.2 - 20.4 days, DT90 range, 9.05 - 79.89 days, Soils=4; Other studies: lab studies DT50 range 2-101 days (R4), field studies DT50 ~15 days",,,,,"108","9629","1.104","A5","EU dossier Kf range 54.1-263.1 mL/g, Kfoc range 2245-24526 mL/g, 1/n range 1.036-1.149, Soils=4","No","0.4","A5","Data for pH 5, 25 degC","3.5","A5","pH sensitive: DT50 68.5 days at pH 5, 6.9 hours at pH 9, all at 25 degC","1.6","A5","1.6","A5","6.4","R3","Blueberry fruit, n=1","6.6","R4","Published literature RL50 range 1.7-11.3 days, field & lab literature, 4 crops, various matrices, n=5","978","N,N dimethyl carbamosulfonic acid",,"Soil","0.162","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.19","A5 ","Weak acid","1.36","A5","White to yellow crystalline powder","[pH 6.9: 216nm = 19800, 248nm = 13920, 273nm = 12920], [pH 1.2: 217nm = 19910, 246nm = 14240, 272nm = 13080], [pH 10: 219nm = 21770, 250nm = 15660], 277nm = 14310]","A5","71.5","A5 @ 20degC, 99.1% w/w","1.93100227993871E-02","5.2399845228123E-03"
"649","triadimenol","BAY KWG 0519","72","A5","250000","A5 Dichloromethane","18000","A5 Xylene","140000","A5 2-Propanol","450","A5 n-Heptane","132.5","A5","Decomposes before boiling","A5","270","A5","Not expected to self ignite; Not highly flammable","A5","3.18","A5","0.0005","A5","3.5E-06","A5",,"250","L3","136.7","A5","455.3","A5","64.9","A5","215.7","A5",,,"EU dossier lab study DT50 range 47.3-158.4 days, DT90 range 191-591 days; field studies DT50 range 23-127.6 days, DT90 range 76.3-423.9 days",,"750","Q3","Various sources: (1) 500 (H3), (2) 1000 mL/g (US3)","2.8","273","0.890","A5","EU dossier kf range 0.91-5.66, Kfoc range 108-702 mL/g, 1/n range 0.841-0.963, Soils=14","No","9.0","A5","Data for continuous irradiation, stable under dark conditions","Stable","A5","Stable pH 4 to pH 9 at 20 and 40 degC","91","K4","53","K4",,,,"11.7","R3","Undercover strawberry fruit, n=1","708","1,2,4-triazole","CGA 71019","Soil","0.21","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","A5 ","No dissociation","1.27","A5","Colourless crystals",,,"54.4","A5 @20DegC, 90% soln","2.83405594955872","0.249152890243489"
"747","cyhalofop",,"180","A5","16000","A3 Xylene (1.6%w/w)","1600000","A3 Methanol (157.6% w/w)","216000","A3 Chloroform (21.6% w/w)","280000","A3 Toluene (2.8% w/w)",,,,,,,,,"-0.49","A5","2.0E-03","A5","2.41E-09","A5",,"0.71","A5","0.71","A5","15.0","A5",,,,,,,"EU dossier lab studies DT50 range 0.36-1.6 days, DT90 range 1.2-5.3 days","1.68","186","A4","EU dossier Kd range 1.41-1.95 mL/g, Koc range 176-195 mL/g, Soils=2","1.22","24.0","0.822","A5","EU dossier Kf range 0.373-4.03 mL/g, Kfoc range 14.4-37.3 mL/g, 1/n range 0.775-0.862, Soils=5","None",,,,"Stable","A5",,"5.5","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.9","A5",,"1.36","Q2",,"[Purified water: 235nm=15900; 248nm = 15200; 274nm=7511; 282nm=6030], [0.1M HCl: 234nm=14900; 249nm=15800; 273nm=7880; 281nm=5960], [0.1M NaOH: 236nm=16300; 248nm=15700; 273nm=8320; 281nm=6740]","A5",,,"-0.389671705915019","7.63142074706012E-04"
"755","DDD","ENT 4225","0.09","F4",,,,,,,,,"110","F4","350","F4",,,"Not expected to self ignite; Not highly flammable","V3","6.02","F4","0.18","V3 @ 25 degC","4.0E-06","F4","Not considered to be biodegradeable.  ","1000","F3","160","Q3",,,,,,,,,"Environmentally stable",,"131000","V3","Literature data ranges 130600 to 131800 mL/g",,,,,,,,,,"Stable","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","R3","No dissociation","1.385","F4","Clear to off-white coloured crystals",,,,,"-2.46259998880274","5.35307472937412E-03"
"764","diclofop","AE F021079","122700","A5",,,,,,,,,,,,,,,,,"1.61","L3","0.0000031","L3",,,,"24","A4","23.9","A5","84.7","A5","35.2","A5",,,,,"EU dossier lab studies DT50 range 5.1-74.0 days, DT90 range 23.3-246 days, Field studies DT50 range 25.7-52.2 days ; General literature DT50 range 10 days (sand) - 30 days (sandy clay)",,,,,"6.3","289","0.882","A5","EU dossier kf range 0.76-13.54 mL/g, kfoc range 148-505.5 mL/g, 1/n range 0.819-0.913, Soils=6","Yes",,,,,,,"58.3","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.43","L3","Weak acid","1.4","L3","Pale yellow solid",,,,,"2.38028714962823","0.123661517841066"
"877","cloxyfonac",,"2000","V3 @ 25 DegC",,,,,,,,,,,"391.4","Q3",,,"190.5","Q3","1.06","V3",,,"0.114","V3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.44","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"883","mesosulfuron","AE F154851",,,,,,,,,,,,,,,,,,,,,,,,,,"56.1","A5","56.1","A5","214.3","A5","39.7","A5","186","A5",,,"EU 2016 dossier lab studies DT50 range 18.7-148.9 days, DT90 range 62.2-254.9 days, Soils=10; Field studies DT50 range 4-100 days, DT90 range 30-423 days",,,,,"1.55","68.3","0.94","A5","EU dossier kf range 0.75-3.1 mL/g; Kfoc 46-98 mL/g; 1/n range 0.92-0.95; Soils=3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.46230762059671","0.519281024137276"
"887","methyl isothiocyanate","SN-32866","8940","A5",,,,,,,,,"35","E3","119","V3",,,,,"1.05","A5","1739000","A5","14.2","A5",,"2.63","A4","2.63","A5","11.2","A5","2.1","A5",,,,,"EU dossier (metam) lab studies DT50 range: 0.97-8.31 days, DT90 range 3.2-27.6 days; field studies DT50 range 1.3-20.3 days; EU dossier (dazomet) lab studies range 5-32.7 days; Other literature studies Lab range - 24 soils, nursery and forest, various app rates",,,,,"0.35","13.5","0.830","A5","EU dossier Kf range 0.21-0.43, Kfoc range 9.0-20.2ml/g, 1/n range 0.755-9.05, Soils=5","No","6","K2",,"50","A3",,"0.37","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.3","Q3","Strong base","1.07","E3","Colourless crystalline solid","[Neutral soln: 235nm=635, 283nm=65, 321nm=17], [Alkaline soln: 276nm=46, 320nm=5, 290nm=>10], [Acidic soln: 235nm=635, 283nm=23, 290nm=>10]","A5",,,"0.924661829237283","2.27524497785036E-03"
"972","thifensulfuron","IN-L9225",,,,,,,,,,,,,,,,,,,,,,,,,,"32.3","A5","32.3","A5","241","A4","29","A5",,,,,"EU dossier 2014 lab studies DT50 range 14.4-119.9 days, DT90 range 68.5-513 days",,,,,"0.328","19.9","0.850","A5","EU dossier 2014 Kf range 0.08-0.48 mL/g, Kfoc rane 6.9-34 mL/g. 1/n range 0.62-0.76",,,,,,,,,,,,,,,,,,"971","thiophene sulfonamide","IN-W8268","Soil","0.296","Major fraction; Relevant","973","O-desmethylthifensulfuron methyl","IN-L9226","Soil","0.185","Major fraction; Relevant","1092","2-amino-4-methoxy-6-methyl-1,3,5-triazine","IN-A4098","Soil","0.180","Major fraction; Relevant",,,,,,,,,,,,,,,,,,,,,,,,"White solid",,,,,"3.95015185308937","0.797382985610592"
"799","fenthion sulfoxide","BAY S 2281","3.72","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"1.92","V3",,,,,,,,,,,,,,,,,,,,"183","Q2","Estimated",,,,,,,,,,,,,,,,,"6.6","R4","Published literature RL50 range 5.6-7.6 days, grapes, n=2; Grapes in cold storage RL50 42-45 days, n=2","14.0","R3","Orange peel, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.34","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"813","fluazifop-P","R156172","40.5","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"3.18","V3",,,,,,"25","Q3",,,,,,,,,,,,"7.1","205","A4","EU dossier Kd range 1.1-13.1 mL/g, Koc range 106-304 mL/g, Soils=6","1.10","48.72","0.64","A5","EU dossier kf range 0.8-2.1 mL/g, Kfoc range 38.5-83.6 mL/g, 1/n range 0.52-0.82, Soils=6","No","15","Q3",,"Stable","Q2",,"43","Q2","45","Q3",,,,,,,"2140","5-(trifluoromethyl)-2(1H)-pyridinone",,"Soil","0.249","Major fraction, Relevant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.12","V3","Weak acid",,,,,,,,"3.23244650557357","0.324250275835725"
"819","acifluorfen","RH 5781","250000 ","G3","50000","Q2 Acetone","1000","Q2 n-Hexane",,,,,"155","G3",,,"235","L3","Not expected to self ignite; Not highly flammable","V3","1.18","G3","0.133","G3",,,,"54","G3",,,,,,,,,,,"Other sources: DT50 108 (silt loam) - 200 (clay) days (R3)",,"113","G2",,"13.2","160","1.05","R4","Literature data: Kf range 0.57-43.11 mL/g, Kfoc range 65.3-291.3 mL.g, 1/n range 0.952-1.190, Soils=5",,"4","G3",,"Stable","G3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.86","R3","Weak acid",,,"Off-white coloured solid",,,,,"3.11117133543764","0.352582751310856"
"940","etaphos",,,,,,,,,,,,,,,,,,,,"4.48","Q2",,,,,,,,,,,,,,,,,,,,"6543","Q2","Estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.33","Q2",,,,,,"Cannot be calculated","Cannot be calculated"
"944","pyridafol","CL 9673","23800","A5 @ pH 8.2",,,,,,,,,,,"408","Q3",,,"200.6","Q3","0.56","A5","1.94E-04","A5","7.86E-07","A5 @ pH 5, 20DegC",,"2.2","A5","2.2","A5","23.1","A5","97","A5","321",,,,"EU dossier lab studies DT50 range 16.5-42.8 days, DT90 range 54.9-155 days; Field studies DT50 range 0.6-82.0 days, DT90 range 17.8-321 days",,"104","A5","EU dossier Koc range 20-188 mL/g","1.707","41.5","0.77","A5","EU dossier Kf range 0.11-10.2 mL/g, Kfoc range 4-339 mL/g, 1/n range 0.66-0.89, soils=22","Adsoprtion increases with increasing OM and decreasing pH",,,,,,,"286","A5","131","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.7","A5",,"1.36","Q2",,"[pH 6.4: 201.5nm=27877.5, 223.5nm=16670.5, 257.5nm=10366.5, 301.5nm=10366.5]; [pH 1.94: 196nm=46229.1, 225nm=12467.8, 277.5nm=105.06.6]; [pH 11.6: 206nm=53723.8, 222.5nm=31614.4, 256.5nm=15703.9, 14739.6nm=14739.6]","A5","70.9","A5","4.7323947138341","3.1888554226239"
"1004","fenoxaprop-P","AE-F088406","61000","L3",,,,,,,,,,,,,,,,,"1.83","L3","0.18","L3",,,,"5.0","A5","5.0","A5","24.8","A5","8.0","A5","26.5","A5",,,"EU 2018 dossier lab studies  DT50 (normalised) range 2.3-15.3 days, DT90 range 9.8-54.7 days, Soils=8; Field studies DT50 range 7.2-8.8 days, DT90 range 23.8-29.2 days, Soils=2",,,,,"3.9","282","0.787","A5","EU 2018 dossier Kf range 1.17-8.76 mL/g, Kfoc range 145-568 mL/g, 1/n range = 0.719-0.880, Soils=5","No",,,,"320","A5",,"125","Q3","10","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5","L3","Pale browm powder",,,,,"1.39956451260862","1.43971398630243E-02"
"1066","haloxyfop","DOWCO 453","1.6","L3","1000000","L2 Acetone","518000","L3 Ethyl acetate","74000","L3 Xylene","170","L3 Hexane","107","L3",,,,,,,,,"0.00133","L3",,,,"9","L3","55","Q2",,,,,,,,,"Other data DT50 3.78-6.96 days (R3)",,"75","P3",,,,,,,,"12","L3",,"Stable","L3",,"40","L3",,,,,,"5.0","R3","Onion leaves, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9","L3","Strong acid","1.64","L3","Colourless crystals",,,,,"3.69816409465412","0.763185756260657"
"1172","naproanilide",,"0.75","Q3 @ 27 DegC","171000","E3 Acetone","42000","E3 Toluene","17000","E3 Ethanol",,,"128","V3",,,,,,,"3.3","Q3","3.0E-06","Q3",,,,"0.1","R3","0.1","R3",,,,,,,,,"Substance rapidly degrades to its major metabolite",,"370","Q3",,,,,,,,,,,,,,,,,,,,,,,,"1173","2-(2-naphthoxy)propionic acid",,"Soil","1.00","Not assessed under 91/414 or 1107/2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not applicable","Q3","No dissociation","1.256","Q3","Colourless crystalline substance",,,,,"-1.43179827593301","8.26935690223171E-06"
"1183","fenobucarb","Bayer 41367C","420.0","L3",,,,,,,,,"31.5","V3","Decomposes before boiling","Q3",,,"142","L3 (closed cup)","2.78","V3","48","Q2",,,,"18.5","Q3",,,,,,,,,,,"General literature DT50 14-23 Days in upland soil, paddy fields 7-9 days",,"1068","Q2","Estimated",,,,,,,"Stable","L3",,"20","L2","pH sensitive: DT50 28 days at pH 2, 16.9 days at pH 9, 2 days at pH 10, all @ 20 degC",,,,,,,,"6.0","R4","Published literature RL50 range 2.2-10.9 days, 2 field crops, various matrices, n=4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.04","E3","Oily yellow liquid which may solidify at lower temperatures",,,,,"1.23096704474597","2.38702537744746E-02"
"1293","chlordecone","ENT 16391","3.0","F3",,,,,,,,,"Decomposes before melting","F3","Decomposes before boiling","V3","350","B4","Not expected to self ignite; Not highly flammable","V3","4.5","B4","3.5E-05","B3 @ 25 degC","2.53E-03","B4",,"450","B4",,,,,"300","F2",,,,,"Environmentally stable. Literature states it remains in soil for up to 1-2 years (B4)",,"2500","F3","Log10 Koc 3.38-3.415",,,,,,,"Stable","B4",,"Stable","B4",,"Stable","R3","Stable","R3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tan to white coloured solid depending upon purity",,,,,"1.49137560113483","4.12290356873308E-02"
"1416","clodinafop","CGA 193469",,,,,,,,,,,,,"Decomposes before boiling","A5",,,"Not expected to self ignite; Not highly flammable","A5","-0.44","A5",,,,,"Not readily biodegradable","12.35","A5","12.35","A5","41","A5","21","A4",,,"38.3","A5 non-normalised worse case","EU 2017 dossier lab studies DT50 range 6.3-50.4 days, DT90 range 16-127 days, Field studies DT50 range 4.6-13 days (Germany), 19-33 days (UK)",,,,,"1.18","57.1","0.819","A5","EU dossier kf range 0.217-2.23 mL/g, Kfoc range 25.3-81.0 mL/g, 1/n range 0.73-0.99, Soils=9","No",,,,"Stable","A5","Stable pH 4- pH 8.8 at 50 deg C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.96621902278671","0.214020504439774"
"1456","phosphine",,"371","A5","695","A5 Ethanol","2780","A5 Ether","3970","A5 Cyclohexanol",,,"-134","A5","-87.7","A5",,,"-15","V3 (Ignition is due to presence of diphosphane)","-0.27","A5","1.06E+06","A5","33269","L3",,"0.2","A5","0.23","A5","0.69","A2",,,,,,,"EU dossier lab studies DT50 0.22-0.24 days, sand, n=2; DT90 estimated between 0.66-0.72 days",,,,,,,,,,,,"A5","Not relevant","Very rapid","A5","1 to 1.5 days at pH 4, 7 and 9, 20 deg C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.512","L3","Colourless, flammable gas ",,,,,"Cannot be calculated","Cannot be calculated"
"1496","strobane","ENT 19442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.627","E3","Straw coloured, viscous liquid",,,,,"Cannot be calculated","Cannot be calculated"
"1508","semiamitraz hydrochloride","BTS-27271",,,,,,,,,,,,,,,,,,,,,,,,,,"75","Q3","75","Q3",,,"50","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"1534","demeton-S-methyl sulfone",,,,,,,,,,,,,,,,,,,,"-0.47","Q2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"1542","imazamethabenz","AC 263840","1110","L3","30900","CA3 Methanol","4500","CA3 Toluene","23000","CA£ Acetone",,,,,,,,,,,"1.69","CA3",,,,,,"30","E3",,,,,,,,,,,"Literature values DT50 25-45 days",,,,,,"320",,"Q3","Literature values Koc range 55 to 584 mL/g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.5","CA3",,,,"Off white powder",,,,,"2.20807473964182","0.095155458465048"
"1545","demeton-O-methyl sulfone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"1555","metsulfuron",,"172","V3 @ 25 DegC",,,,,,,,,,,,,,,,,"1.7","V3","3.99E-08","V3 @ 25 degC","2.38E-11","V3 @ 25 degC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"899","methyl 2-(aminosulfonyl)benzoate","IN-D5803","Soil","0.170","Major fraction; Relevant","900","2-(aminosulfonyl) benzoic acid","IN-D5119","Soil","0.100","Major fraction; Relevant","901","phenylurea","IN-B5685","Soil","0.170","Major fraction; Relevant","902","1,2-benzisothiazol-3(2H)-one,1,1-dioxide","IN-00581","Soil","0.470","Major fraction; Relevant","1092","2-amino-4-methoxy-6-methyl-1,3,5-triazine","IN-A4098","Soil","0.330","Major fraction; Relevant",,,,,,,,,,,,"White solid",,,,,"Cannot be calculated","Cannot be calculated"
"1729","1-naphthylacetamide",,"170","A5","250000","A5 Methanol","250000","A5 Acetone","1000","A5 Xylene","1000","A5 n-Heptane","180","A5","Decomposes before boiling","A5","180","A3","Not expected to self ignite; Not highly flammable","A5","1.58","A5","9.40E-04","A5","1.02E-08","A5",,"0.52","A5","0.29","A5","0.95","A5",,,,,,,"EU dossier DT50 range 0.06 days (sandy loam) - 0.52 days (humic-sand), DT90 range 0.19-1.7; Other data Lab studies DT50 range 0.39 (range of soils) - 301.3 (Japanese sterile soil) days, DT90 range 1.29 (range of soils) - 1001.1 (Japanese sterile soil)","1.39","20","A3","EU dossier Koc estimated ",,,,,,,"4.7","A5","Irradiated sample","Stable","A5","Stable pH 4, 7 and 9",,,"3.7","A3",,,,,,,"1330","1-naphthylacetic acid",,"Soil","0.739","Relevant, Major fraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.41","A5",,,,"Off-white coloured powder","[Acidic solution: 224nm = 78200, 271nm = 6190, 281nm = 7350]; [Neutral solution: 224nm = 79000, 271nm = 6140, 281nm = 7280]; [Basic solution: 271nm = 6160, 281nm = 7290]","A5","71.4","A5","-1.45097167794171","3.86769435669155E-04"
"2413","chlorazifop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2415","chlorfluren",,,,,,,,,,,,,,,,,,"224","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.418","Q3","Solid",,,,,"Cannot be calculated","Cannot be calculated"
"2420","difenopenten","XE-773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2425","ethoxyfen","HC-252",,,,,,,,,,,,,,,,,"160","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.387","Q3","Solid",,,,,"Cannot be calculated","Cannot be calculated"
"2427","fenthiaprop","HOE 43336","0.8","Q3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crystalline solid",,,,,"Cannot be calculated","Cannot be calculated"
"2442","morfamquat","PP 745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2444","piproctanyl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2560","nornicotine",,"50","V3",,,,,,,,,,,"270","V3",,,"213.8","E3","0.17","V3",,,,,,,,,,,,,,,,,,,,"250","Q3","Literature estimates of Koc range 14-500 mL/g",,,,,,,,,,,,,,,,,,,,"4.2","R4","Mustard leaves, n=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.25","V3",,"1.074","V3","Yellow coloured viscous liquid with amine type odour","[Does not absort at wavelengths >290nm]","Q3",,,"Cannot be calculated","Cannot be calculated"
