ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"2532","pyrethrins (jasmolin I)",,"Not applicable","Orignially pertains to the dried powdered flower of the plant genus <i>Chrysanthemum</i> but optained rom the genus <i>Tanacetum</i>","Extracted from the flowers of <i>Tanacetum cineriaefolium</i>","A wide range of insects and mites","Crop protection","A wide range of crops including vegetables, fruit, protected crops and ornamentals","Evergreen Crop Protetction 60-6","MGK","Diatect II","Diatect International","Pyrethrum 5EC concentrate","Agropharm Ltd",,"Suitable for use in organic farming and for IPM where approved for use in that country"
"2533","pyrethrins (pyrethrin II)","ENT 7543 ","Not applicable","Orignially pertains to the dried powdered flower of the plant genus <i>Chrysanthemum</i> but optained rom the genus <i>Tanacetum</i>","Extracted from the flowers of <i>Tanacetum cineriaefolium</i>","A wide range of insects and mites","Crop protection","A wide range of crops including vegetables, fruit, protected crops and ornamentals","Evergreen Crop Protetction 60-6","MGK","Diatect II","Diatect International","Pyrethrum 5EC concentrate","Agropharm Ltd",,"Suitable for use in organic farming and for IPM where approved for use in that country"
"160","cholecalciferol",,,,,,,,,,,,,,,
"162","cinidon-ethyl","BAS 615H",,,,,,,,,,,,,,
"163","cinosulfuron","CGA 142464",,,,,,,,,,,,,,
"164","clethodim","RE 45601",,,,,,,,,,,,,,
"165","clodinafop-propargyl","CGA 184927",,,,,,,,,,,,,,
"166","clofencet","Mon 21250 ",,,,,,,,,,,,,,
"167","clofentezine","NC 21314",,,,,,,,,,,,,,
"168","clomazone","FMC 57020",,,,,,,,,,,,,,
"169","clopyralid",,,,,,,,,,,,,,,
"172","copper II acetate",,,,,,,,,,,,,,,
"173","copper II carbonate",,,,,,,,,,,,,,,
"174","copper II chloride",,,,,,,,,,,,,,,
"175","copper II hydroxide",,,,,,,,,,,,,,,
"177","copper oxychloride",,,,,,,,,,,,,,,
"178","copper sulphate",,,,,,,,,,,,,,,
"179","coumachlor",,,,,,,,,,,,,,,
"180","coumafuryl",,,,,,,,,,,,,,,
"182","coumatetralyl",,,,,,,,,,,,,,,
"183","crimidine",,,,,,,,,,,,,,,
"184","cyanamide","LH 21,810A",,,,,,,,,,,,,,
"185","cyanazine",,,,,,,,,,,,,,,
"186","cyazofamid","IKF 916",,,,,,,,,,,,,,
"187","cyclanilide","RPA 090946",,,,,,,,,,,,,,
"188","cycloate","R 2063",,,,,,,,,,,,,,
"189","cycloxydim","BAS 517H",,,,,,,,,,,,,,
"190","cycluron",,,,,,,,,,,,,,,
"191","cyflufenamid","NF 149",,,,,,,,,,,,,,
"192","cyfluthrin","OMS 2012",,,,,,,,,,,,,,
"193","cyhalofop-butyl","DE 537",,,,,,,,,,,,,,
"196","cymoxanil","DPX T3217",,,,,,,,,,,,,,
"198","cyproconazole","SAN 619",,,,,,,,,,,,,,
"199","cyprodinil","CGA 219417",,,,,,,,,,,,,,
"201","dalapon-sodium",,,,,,,,,,,,,,,
"202","daminozide",,,,,,,,,,,,,,,
"203","dazomet","N 521",,,,,,,,,,,,,,
"204","DDT","OMS 16",,,,,,,,,,,,,,
"206","demeton-S-methyl",,,,,,,,,,,,,,,
"207","desmedipham","EP 475",,,,,,,,,,,,,,
"208","desmetryn","G 34360",,,,,,,,,,,,,,
"26","aluminium sulphate","T534",,,,,,,,,,,,,,
"27","ametryn","G 34162 ",,,,,,,,,,,,,,
"28","amidosulfuron",,,,,,,,,,,,,,,
"29","aminopyralid","XDE 750",,,,,,,,,,,,,,
"31","amitrole",,,,,,,,,,,,,,,
"32","ammonium acetate",,,,,,,,,,,,,,,
"33","ammonium carbonate",,,,,,,,,,,,,,,
"34","ammonium hydroxide",,,,,,,,,,,,,,,
"35","ammonium sulphamate",,,,,,,,,,,,,,,
"37","ammonium thiocyanate",,,,,,,,,,,,,,,
"38","ancymidol","EL 531",,,,,,,,,,,,,,
"39","anilazine","ENT 26 058",,,,,,,,,,,,,,
"40","anthracene oil",,,,,,,,,,,,,,,
"41","anthraquinone",,,,,,,,,,,,,,,
"42","asulam sodium","AE F102789",,,,,,,,,,,,,,
"43","atrazine","G 30027",,,,,,,,,,,,,,
"45","azaconazole",,,,,,,,,,,,,,,
"47","azafenidin",,,,,,,,,,,,,,,
"49","azimsulfuron",,,,,,,,,,,,,,,
"50","azinphos-ethyl","BAY 16259",,,,,,,,,,,,,,
"51","azinphos-methyl",,,,,,,,,,,,,,,
"52","aziprotryne","C 7019",,,,,,,,,,,,,,
"53","azocyclotin","BAY BUE 1452",,,,,,,,,,,,,,
"54","azoxystrobin","ICI 5504",,,,,,,,,,,,,,
"58","beflubutamid","UBH 820",,,,,,,,,,,,,,
"59","benalaxyl","M 9834",,,,,,,,,,,,,,
"60","benazolin","RD 7693",,,,,,,,,,,,,,
"62","benfluralin","EL-110",,,,,,,,,,,,,,
"63","benfuracarb",,,,,,,,,,,,,,,
"64","benfuresate","NC 20484",,,,,,,,,,,,,,
"65","benodanil","BAS 3170",,,,,,,,,,,,,,
"66","benomyl","T 1991",,,,,,,,,,,,,,
"68","bensulfuron-methyl","DPX F5384",,,,,,,,,,,,,,
"69","bensulide","R 4461",,,,,,,,,,,,,,
"70","bensultap","OMS 3011",,,,,,,,,,,,,,
"71","bentazone",,,,,,,,,,,,,,,
"72","benthiavalicarb",,,,,,,,,,,,,,,
"73","benzoximate",,,,,,,,,,,,,,,
"74","beta-cyfluthrin","OMS 3051",,,,,,,,,,,,,,
"76","bifenazate",,,,,,,,,,,,,,,
"77","bifenox",,,,,,,,,,,,,,,
"78","bifenthrin","FMC 54800",,,,,,,,,,,,,,
"79","binapacryl","FMC 9044",,,,,,,,,,,,,,
"80","bioallethrin",,,,,,,,,,,,,,,
"81","bioresmethrin","FMC 17370",,,,,,,,,,,,,,
"82","biphenyl",,,,,,,,,,,,,,,
"83","bispyribac-sodium","KIH-2023",,,,,,,,,,,,,,
"84","bitertanol","KWG 0599",,,,,,,,,,,,,,
"85","Bordeaux mixture",,,,,,,,,,,,,,,
"86","boscalid","BAS 510F",,,,,,,,,,,,,,
"87","brodifacoum","WBA 8119",,,,,,,,,,,,,,
"88","bromacil","DPX N0976",,,,,,,,,,,,,,
"89","bromadiolone","LM 637",,,,,,,,,,,,,,
"90","bromethalin","OMS 3020",,,,,,,,,,,,,,
"91","bromocyclen",,,,,,,,,,,,,,,
"92","bromofenoxim","C9122",,,,,,,,,,,,,,
"93","bromophos",,,,,,,,,,,,,,,
"94","bromophos-ethyl","SHG-2225",,,,,,,,,,,,,,
"95","bromopropylate","GS 19851",,,,,,,,,,,,,,
"97","bromuconazole","LS 860263",,,,,,,,,,,,,,
"99","bupirimate","PP 588",,,,,,,,,,,,,,
"100","buprofezin","PP 618",,,,,,,,,,,,,,
"101","butachlor","CP 53619",,,,,,,,,,,,,,
"102","butocarboxim","Co 755",,,,,,,,,,,,,,
"103","butoxycarboxim","Co 859",,,,,,,,,,,,,,
"104","butralin","Amchem70-25",,,,,,,,,,,,,,
"105","butylate","R 1910",,,,,,,,,,,,,,
"106","cadusafos","FMC 67825",,,,,,,,,,,,,,
"107","calciferol",,,,,,,,,,,,,,,
"232","difenzoquat","BAS 450H",,,,,,,,,,,,,,
"233","difethialone","OMS 3053",,,,,,,,,,,,,,
"234","diflubenzuron","OMS 1804",,,,,,,,,,,,,,
"235","diflufenican","AE 088657",,,,,,,,,,,,,,
"236","dimefox",,,,,,,,,,,,,,,
"237","dimefuron","RP 23465",,,,,,,,,,,,,,
"238","dimepiperate","MY 93",,,,,,,,,,,,,,
"239","dimethachlor","CGA 17020",,,,,,,,,,,,,,
"240","dimethenamid","SAN 582H",,,,,,,,,,,,,,
"241","dimethenamid-P",,,,,,,,,,,,,,,
"242","dimethipin","N 252",,,,,,,,,,,,,,
"243","dimethirimol","PP675",,,,,,,,,,,,,,
"245","dimethomorph","CME 151",,,,,,,,,,,,,,
"246","dimoxystrobin","BAS 505F",,,,,,,,,,,,,,
"247","diniconazole","XE-779",,,,,,,,,,,,,,
"248","dinitramine","USB 3584",,,,,,,,,,,,,,
"249","dinobuton","OMS 1056",,,,,,,,,,,,,,
"250","dinocap","ENT 24727",,,,,,,,,,,,,,
"251","dinoseb","HOE 26150",,,,,,,,,,,,,,
"252","dinoterb","LS 63133",,,,,,,,,,,,,,
"253","dioxacarb","C8353",,,,,,,,,,,,,,
"254","diphacinone",,,,,,,,,,,,,,,
"255","diphenamid","L 34314",,,,,,,,,,,,,,
"256","diquat dibromide",,,,,,,,,,,,,,,
"257","disulfoton","ENT 23347",,,,,,,,,,,,,,
"258","dithianon","BAS 216F",,,,,,,,,,,,,,
"259","dithiopyr","RH 101664",,,,,,,,,,,,,,
"260","diuron","DPX 14740",,,,,,,,,,,,,,
"261","DNOC","ENT 154",,,,,,,,,,,,,,
"262","dodemorph",,,,,,,,,,,,,,,
"263","dodine","BAS 365F",,,,,,,,,,,,,,
"264","endosulfan","OMS 570",,,,,,,,,,,,,,
"265","endothal",,,,,,,,,,,,,,,
"266","endrin",,,,,,,,,,,,,,,
"267","epoxiconazole","BAS 480F",,,,,,,,,,,,,,
"268","EPTC","R 1608",,,,,,,,,,,,,,
"269","esfenvalerate","OMS 3023",,,,,,,,,,,,,,
"270","ethaboxam","LGC 30473",,,,,,,,,,,,,,
"271","ethalfluralin","EL 161",,,,,,,,,,,,,,
"272","ethanedial",,,,,,,,,,,,,,,
"274","ethephon",,,,,,,,,,,,,,,
"275","ethiofencarb","BAY 108594",,,,,,,,,,,,,,
"278","ethofumesate","AE B049913",,,,,,,,,,,,,,
"279","ethoprophos",,,,,,,,,,,,,,,
"281","ethoxysulfuron","AE F095404",,,,,,,,,,,,,,
"283","etofenprox","MTI 500",,,,,,,,,,,,,,
"284","etoxazole","S 1283",,,,,,,,,,,,,,
"285","etridiazole","Olin 2424",,,,,,,,,,,,,,
"286","etrimfos",,,,,,,,,,,,,,,
"287","famoxadone","JE 874",,,,,,,,,,,,,,
"289","fenamidone","RPA 407213",,,,,,,,,,,,,,
"290","fenamiphos","BAY 68138",,,,,,,,,,,,,,
"291","fenarimol","EL 222",,,,,,,,,,,,,,
"292","fenazaquin","DE 436",,,,,,,,,,,,,,
"293","fenbuconazole","RH 7592",,,,,,,,,,,,,,
"294","fenbutatin oxide","ENT 27738",,,,,,,,,,,,,,
"297","fenfuram","WL 22361",,,,,,,,,,,,,,
"298","fenhexamid","KBR 2738",,,,,,,,,,,,,,
"299","fenitrothion","OMS 43",,,,,,,,,,,,,,
"300","fenoprop",,,,,,,,,,,,,,,
"301","fenothiocarb","KCO 3001",,,,,,,,,,,,,,
"302","fenoxaprop-ethyl",,,,,,,,,,,,,,,
"303","fenoxaprop-P-ethyl","AE F046360",,,,,,,,,,,,,,
"304","fenoxycarb","OMS 3010",,,,,,,,,,,,,,
"306","fenpropathrin","OMS 1999",,,,,,,,,,,,,,
"307","fenpropidin","CGA 114900",,,,,,,,,,,,,,
"308","fenpropimorph","CGA 101031",,,,,,,,,,,,,,
"309","fenpyroximate","NNI 850",,,,,,,,,,,,,,
"311","fentin acetate","OMS 1020",,,,,,,,,,,,,,
"312","fentin hydroxide",,,,,,,,,,,,,,,
"313","fenuron",,,,,,,,,,,,,,,
"315","ferbam","ENT 14689",,,,,,,,,,,,,,
"318","flamprop-M-isopropyl","WL 43425",,,,,,,,,,,,,,
"319","flazasulfuron","OK 1166",,,,,,,,,,,,,,
"320","flocoumafen","BAS 322l",,,,,,,,,,,,,,
"321","flonicamid","IKI 220",,,,,,,,,,,,,,
"322","florasulam","DE 570",,,,,,,,,,,,,,
"323","fluazifop-butyl","SL 236",,,,,,,,,,,,,,
"324","fluazifop-P-butyl","R154875",,,,,,,,,,,,,,
"325","fluazinam","IKF 1216",,,,,,,,,,,,,,
"326","fluazolate",,,,,,,,,,,,,,,
"327","flubenzimine","BAY SLJ 0312",,,,,,,,,,,,,,
"328","flucycloxuron","OMS 3041",,,,,,,,,,,,,,
"329","flucythrinate","OMS 2007",,,,,,,,,,,,,,
"330","fludioxonil","CGA 173506",,,,,,,,,,,,,,
"331","flufenacet","FOE 5043",,,,,,,,,,,,,,
"332","flufenoxuron","BAS 3071",,,,,,,,,,,,,,
"333","diflovidazin","SZ1 121",,,,,,,,,,,,,,
"334","flumetsulam","DE 498",,,,,,,,,,,,,,
"335","flumioxazin","S 53482",,,,,,,,,,,,,,
"336","fluometuron",,,,,,,,,,,,,,,
"337","fluopicolide","AE C638206",,,,,,,,,,,,,,
"338","fluoroacetamide",,,,,,,,,,,,,,,
"339","fluoroglycofen",,,,,,,,,,,,,,,
"340","fluoxastrobin","HEC 5725",,,,,,,,,,,,,,
"341","flupyrsulfuron-methyl-sodium",,,,,,,,,,,,,,,
"342","fluquinconazole","AE C597265",,,,,,,,,,,,,,
"344","flurenol",,,,,,,,,,,,,,,
"345","fluridone",,,,,,,,,,,,,,,
"346","flurochloridone","R 40244",,,,,,,,,,,,,,
"347","fluroxypyr","DOW 43304-H",,,,,,,,,,,,,,
"348","flurprimidol","EL 500",,,,,,,,,,,,,,
"349","flurtamone","RPA 590515",,,,,,,,,,,,,,
"350","flusilazole","DPX H6573",,,,,,,,,,,,,,
"351","flusulfamide","MTF 651",,,,,,,,,,,,,,
"352","flutolanil","NNF 136",,,,,,,,,,,,,,
"353","flutriafol","PP 450",,,,,,,,,,,,,,
"354","folpet",,,,,,,,,,,,,,,
"355","fomesafen","PP 021",,,,,,,,,,,,,,
"356","fonofos","N-2790",,,,,,,,,,,,,,
"1","1,3-dichloropropene","D D92",,,,,,,,,,,,,,
"665","triflumizole","NF 114 ",,,,,,,,,,,,,,
"667","trifluralin","EL 152",,,,,,,,,,,,,,
"668","triflusulfuron-methyl","DPX 66037",,,,,,,,,,,,,,
"669","triforine","AC 902194",,,,,,,,,,,,,,
"671","trimethacarb","OMS 597",,,,,,,,,,,,,,
"672","trinexapac-ethyl","CGA 163935",,,,,,,,,,,,,,
"673","triticonazole","RPA 400727",,,,,,,,,,,,,,
"674","tritosulfuron",,,,,,,,,,,,,,,
"675","uniconazole","XE 1019",,,,,,,,,,,,,,
"676","urea sulphate",,,,,,,,,,,,,,,
"678","vamidothion","ENT 26613",,,,,,,,,,,,,,
"679","vernolate","R-106",,,,,,,,,,,,,,
"680","vinclozolin","BAS 352F",,,,,,,,,,,,,,
"681","warfarin",,,,,,,,,,,,,,,
"682","zeta-cypermethrin","FMC 56701",,,,,,,,,,,,,,
"683","zineb","ENT 14874",,,,,,,,,,,,,,
"684","ziram",,,,,,,,,,,,,,,
"685","zoxamide","RH 7281",,,,,,,,,,,,,,
"2","1-methylcyclopropene",,,,,,,,,,,,,,,
"3","2,3,6-TBA","HC 1281",,,,,,,,,,,,,,
"686","topramezone","BAS 670 H",,,,,,,,,,,,,,
"1010","benalaxyl-M","IR 6141",,,,,,,,,,,,,,
"1011","pethoxamid","ASU 96 520H",,,,,,,,,,,,,,
"1016","acrolein",,,,,,,,,,,,,,,
"1017","benzfendizone","F 3686",,,,,,,,,,,,,,
"1018","bistrifluron","DBI-3204",,,,,,,,,,,,,,
"1019","carpropamid","KTU 3616",,,,,,,,,,,,,,
"1021","cinmethylin","SD 95481",,,,,,,,,,,,,,
"1023","cyanophos","OMS 226",,,,,,,,,,,,,,
"1025","hydroprene","OMS 1696",,,,,,,,,,,,,,
"1026","imibenconazole","HF 6305",,,,,,,,,,,,,,
"1027","S-metolachlor","CGA 77102",,,,,,,,,,,,,,
"1028","profoxydim","BAS 625H",,,,,,,,,,,,,,
"1029","pyrithiobac-sodium","DPX PE 350",,,,,,,,,,,,,,
"1032","bone oil",,,,,,,,,,,,,,,
"1046","dodemorph acetate","BAS 238F",,,,,,,,,,,,,,
"746","bromoxynil octanoate",,,,,,,,,,,,,,,
"1061","bromoxynil heptanoate",,,,,,,,,,,,,,,
"1062","glyphosate trimesium",,,,,,,,,,,,,,,
"1063","ioxynil octanoate",,,,,,,,,,,,,,,
"1064","nitrothal isopropyl","BAS 300 OOF",,,,,,,,,,,,,,
"1065","thiocyclam",,,,,,,,,,,,,,,
"753","thiocyclam hydrogen oxalate","SAN 1551",,,,,,,,,,,,,,
"1067","haloxyfop-etotyl","DOWCO 453EE",,,,,,,,,,,,,,
"1068","haloxyfop-P-methyl","DE 535",,,,,,,,,,,,,,
"1070","ditalimfos","DOWCO 199",,,,,,,,,,,,,,
"1071","calcium phosphide",,,,,,,,,,,,,,,
"1074","2,5-dichlorobenzoic acid methyl ester",,,,,,,,,,,,,,,
"1085","iminoctadine triacetate","DF 125",,,,,,,,,,,,,,
"1086","benazolin ethyl",,,,,,,,,,,,,,,
"1087","butroxydim","ICIA0500",,,,,,,,,,,,,,
"1090","magnesium phosphide",,,,,,,,,,,,,,,
"1096","sodium 5-nitroguaiacolate",,,,,,,,,,,,,,,
"1097","sodium o-nitrophenolate",,,,,,,,,,,,,,,
"1098","sodium p-nitrophenolate",,,,,,,,,,,,,,,
"1101","dialifos","AC 14503",,,,,,,,,,,,,,
"1108","barban","A-980",,,,,,,,,,,,,,
"1109","chlorfenprop-methyl",,,,,,,,,,,,,,,
"1110","chlorthiophos","ENT 27635",,,,,,,,,,,,,,
"1111","monocrotophos","ENT 27129",,,,,,,,,,,,,,
"1112","prothiocarb",,,,,,,,,,,,,,,
"1113","dikegulac",,,,,,,,,,,,,,,
"1114","dikegulac-sodium",,,,,,,,,,,,,,,
"1115","noruron",,,,,,,,,,,,,,,
"1116","benzthiazuron","Bay 60618 ",,,,,,,,,,,,,,
"1117","halosulfuron-methyl","CGA 288239",,,,,,,,,,,,,,
"1118","tembotrione","AE 0172747",,,,,,,,,,,,,,
"1119","spirotetramat","BYI 08330",,,,,,,,,,,,,,
"1120","fluroxypyr-meptyl",,,,,,,,,,,,,,,
"1124","MCPA-thioethyl",,,,,,,,,,,,,,,
"1126","sodium chlorate",,,,,,,,,,,,,,,
"1127","fluorodifen","C 6989",,,,,,,,,,,,,,
"1128","aldimorph","LS-16284",,,,,,,,,,,,,,
"1129","dichlone","USR 604",,,,,,,,,,,,,,
"1130","fenaminosulf","Bayer 5027",,,,,,,,,,,,,,
"1131","kinoprene",,,,,,,,,,,,,,,
"1132","flubendiamide","NNI-0001",,,,,,,,,,,,,,
"1133","pyroxsulam","XDE 742",,,,,,,,,,,,,,
"1135","orthosulfamuron","IR5878",,,,,,,,,,,,,,
"1136","chromafenozide","ANS 118",,,,,,,,,,,,,,
"1137","amisulbrom",,,,,,,,,,,,,,,
"1138","chlorantraniliprole","DPX E2Y45",,,,,,,,,,,,,,
"1139","pyridalyl","S-1812",,,,,,,,,,,,,,
"1140","ipconazole","KNF 317",,,,,,,,,,,,,,
"1142","orysastrobin",,,,,,,,,,,,,,,
"1143","cyflumetofen","OK-5101",,,,,,,,,,,,,,
"1144","spinetoram","XDE 175",,,,,,,,,,,,,,
"1145","chlorimuron-ethyl","DPX F6025",,,,,,,,,,,,,,
"1146","ethametsulfuron-methyl","DPX-A7881",,,,,,,,,,,,,,
"1147","cyclosulfamuron","BAS 710H",,,,,,,,,,,,,,
"1148","pyrazosulfuron-ethyl","NC 311",,,,,,,,,,,,,,
"1149","sulfometuron-methyl","DPX T5648",,,,,,,,,,,,,,
"1150","trifloxysulfuron","CGA 292230",,,,,,,,,,,,,,
"1151","trifloxysulfuron-sodium","CGA 362622",,,,,,,,,,,,,,
"1152","imazapic","AC 263222",,,,,,,,,,,,,,
"1153","cloransulam-methyl","XDE 565",,,,,,,,,,,,,,
"1154","diclosulam","XDE 564",,,,,,,,,,,,,,
"1155","pyribenzoxim","LGC 40863 ",,,,,,,,,,,,,,
"1156","pyriftalid","CGA 279233",,,,,,,,,,,,,,
"1157","flucarbazone-sodium","BAY MKH 6562",,,,,,,,,,,,,,
"1158","dimethametryn","C 18898",,,,,,,,,,,,,,
"1159","amicarbazone","BAY MKH 3586",,,,,,,,,,,,,,
"1160","lactofen","PPG 844",,,,,,,,,,,,,,
"1161","flumiclorac-pentyl","S 23031",,,,,,,,,,,,,,
"1162","pentoxazone","KPP-314",,,,,,,,,,,,,,
"1163","butafenacil","CGA 276854",,,,,,,,,,,,,,
"1166","pyraclonil",,,,,,,,,,,,,,,
"1167","benzofenap","MY 71",,,,,,,,,,,,,,
"1168","benzobicyclon","SB 500",,,,,,,,,,,,,,
"1171","thenylchlor","NSK 850",,,,,,,,,,,,,,
"1174","fentrazamide","BAY YRC 2388",,,,,,,,,,,,,,
"1175","anilofos","HOE 30374",,,,,,,,,,,,,,
"1176","piperophos","C 19 490",,,,,,,,,,,,,,
"1177","esprocarb","C 14526",,,,,,,,,,,,,,
"1178","flupropanate-sodium","Orga 3045",,,,,,,,,,,,,,
"1179","diflufenzopyr","HSDB 7010",,,,,,,,,,,,,,
"1180","indanofan","MK 243",,,,,,,,,,,,,,
"1181","cyphenothrin","S 2703",,,,,,,,,,,,,,
"1184","isoprocarb","OMS 32",,,,,,,,,,,,,,
"1185","XMC","H 69",,,,,,,,,,,,,,
"1186","EPN","OMS 219",,,,,,,,,,,,,,
"1187","cycloprothrin","OMS 3049",,,,,,,,,,,,,,
"1188","benquinox","BAY 15080",,,,,,,,,,,,,,
"1190","diethyltoluamide",,,,,,,,,,,,,,,
"1191","1,2-dichloropropane","ENT 15406 ",,,,,,,,,,,,,,
"1192","allidochlor","CP 6343",,,,,,,,,,,,,,
"1193","aminocarb","BAY 44646",,,,,,,,,,,,,,
"1194","chlorfenac",,,,,,,,,,,,,,,
"1195","dinotefuran","MTI 446",,,,,,,,,,,,,,
"1197","flumetralin","CGA 41065",,,,,,,,,,,,,,
"1199","mexacarbate","ENT 25766",,,,,,,,,,,,,,
"1200","nitrapyrin",,,,,,,,,,,,,,,
"1201","piperalin","HSDB 7058",,,,,,,,,,,,,,
"1202","prodiamine","SAN 745H",,,,,,,,,,,,,,
"1203","secbumeton",,,,,,,,,,,,,,,
"1196","etaconazole","CGA 64251 ",,,,,,,,,,,,,,
"1204","simeconazole",,,,,,,,,,,,,,,
"1205","edifenphos","BAY 78418",,,,,,,,,,,,,,
"1206","oxpoconazole fumarate","UR 50302",,,,,,,,,,,,,,
"1207","iprobenfos",,,,,,,,,,,,,,,
"1208","furametpyr","S 82658",,,,,,,,,,,,,,
"1209","thifluzamide","MON 24000",,,,,,,,,,,,,,
"1210","penthiopyrad","MTF 753",,,,,,,,,,,,,,
"1211","metominostrobin","SSF 126",,,,,,,,,,,,,,
"1212","phthalide","Bayer 96610",,,,,,,,,,,,,,
"1213","fenoxanil","BAS 546F",,,,,,,,,,,,,,
"1214","tecloftalam","SF 7402",,,,,,,,,,,,,,
"1215","diclomezine","F-850",,,,,,,,,,,,,,
"1216","diflumetorim","UBF 002",,,,,,,,,,,,,,
"1217","flumorph","SYP L190",,,,,,,,,,,,,,
"1218","methasulfocarb","NK 191",,,,,,,,,,,,,,
"1219","cufraneb",,,,,,,,,,,,,,,
"1225","chlorbenside","ENT 20696",,,,,,,,,,,,,,
"1226","dimethylvinphos","SD 8280",,,,,,,,,,,,,,
"1227","ethiprole","RPA 107382",,,,,,,,,,,,,,
"687","fluacrypyrim",,,,,,,,,,,,,,,
"987","isocarbophos","BAY 93820",,,,,,,,,,,,,,
"1229","chlordimeform","ENT 27335",,,,,,,,,,,,,,
"1231","alpha-chlorohydrin","U 5897",,,,,,,,,,,,,,
"1232","imiprothrin","S 41311",,,,,,,,,,,,,,
"1233","iodomethane","TM 425",,,,,,,,,,,,,,
"1234","lithium perfluorooctane sulfonate",,,,,,,,,,,,,,,
"1235","metofluthrin","S 1264",,,,,,,,,,,,,,
"858","cafenstrole","CH 900",,,,,,,,,,,,,,
"1250","bixafen",,,,,,,,,,,,,,,
"1241","thiencarbazone-methyl","BYH 18636 ",,,,,,,,,,,,,,
"1244","saflufenacil","BAS 800H",,,,,,,,,,,,,,
"1253","thionazin","AC 18133 ",,,,,,,,,,,,,,
"1254","bentaluron","CGA 18734",,,,,,,,,,,,,,
"1255","benzoylprop",,,,,,,,,,,,,,,
"1256","benzoylprop-ethyl","FX 2182 ",,,,,,,,,,,,,,
"1269","alpha-naphthylthiourea ",,,,,,,,,,,,,,,
"1270","fenson",,,,,,,,,,,,,,,
"1271","endothion","ENT 24653",,,,,,,,,,,,,,
"1272","tetraethyl pyrophosphate ","ENT 18771 ",,,,,,,,,,,,,,
"1273","menazon","ENT 25760 ",,,,,,,,,,,,,,
"1274","phenkapton","ENT 25585 ",,,,,,,,,,,,,,
"1275","tetrasul","ENT 27115 ",,,,,,,,,,,,,,
"1277","isobenzan","ENT 25545",,,,,,,,,,,,,,
"1278","buturon","H 95 (BASF)",,,,,,,,,,,,,,
"1279","fenazaflor","ENT 27438",,,,,,,,,,,,,,
"1280","norbormide","ENT 51762 ",,,,,,,,,,,,,,
"1281","fluchloralin","BAS 392H",,,,,,,,,,,,,,
"1282","transfluthrin","NAK 4455",,,,,,,,,,,,,,
"1284","nitralin","HSDB 789",,,,,,,,,,,,,,
"1285","ethidimuron","MET 1486 ",,,,,,,,,,,,,,
"1286","cyprofuram","SN 78314",,,,,,,,,,,,,,
"1287","ampropylfos","PNL-62",,,,,,,,,,,,,,
"1289","karbutilate","FMC 11092",,,,,,,,,,,,,,
"1290","chlorphoxim","OMS 1197",,,,,,,,,,,,,,
"1292","fensulfothion","ENT 24945",,,,,,,,,,,,,,
"1294","mirex","GC 1283",,,,,,,,,,,,,,
"1295","simetryn",,,,,,,,,,,,,,,
"1296","azobenzene","ENT 14611",,,,,,,,,,,,,,
"1297","chloranil","ENT 3747",,,,,,,,,,,,,,
"1298","phosacetim","BAY 38819",,,,,,,,,,,,,,
"1299","monosodium methylarsonate",,,,,,,,,,,,,,,
"282","silica",,,,,,,,,,,,,,,
"1312","naphthalene",,,,,,,,,,,,,,,
"1331","2-naphthyloxyacetic acid",,,,,,,,,,,,,,,
"1332","benzalkonium chloride",,,,,,,,,,,,,,,
"1333","acetic acid",,,,,,,,,,,,,,,
"1335","diphenylamine",,,,,,,,,,,,,,,
"1348","4-aminopyridine","PRC-1237",,,,,,,,,,,,,,
"1354","8-hydroxyquinoline",,,,,,,,,,,,,,,
"1355","noviflumuron",,,,,,,,,,,,,,,
"1362","fluopyram",,,,,,,,,,,,,,,
"1363","isotianil","BYF1047",,,,,,,,,,,,,,
"1365","imicyafos",,,,,,,,,,,,,,,
"1366","pyrifluquinazon",,,,,,,,,,,,,,,
"1367","pyroxasulfone","KIH-485",,,,,,,,,,,,,,
"1368","fluotrimazole",,,,,,,,,,,,,,,
"1369","pyrimisulfan","KIH-5996",,,,,,,,,,,,,,
"1371","isopolinate","R-4574",,,,,,,,,,,,,,
"1372","bromobutide","S 4347 ",,,,,,,,,,,,,,
"1374","paraffin oil (C18-C30) (1, not ASU)","ASU 70 480 1",,,,,,,,,,,,,,
"1375","paraffin oil (C17-C31) (2) ","NEU 1130 1",,,,,,,,,,,,,,
"1376","paraffin oil (C11-C25) (4a)",,,,,,,,,,,,,,,
"1377","paraffin oil (3 Not NEU)","NEU 11301",,,,,,,,,,,,,,
"1380","propisochlor",,,,,,,,,,,,,,,
"1381","menadione","MSB",,,,,,,,,,,,,,
"1384","N-methylneodecanamide",,,,,,,,,,,,,,,
"1395","calcium carbide",,,,,,,,,,,,,,,
"1396","quartz sand",,,,,,,,,,,,,,,
"1397","methyl nonyl ketone",,,,,,,,,,,,,,,
"1398","denatonium benzoate","ASU 90 820 P",,,,,,,,,,,,,,
"1422","nitrofen","FW-925",,,,,,,,,,,,,,
"1441","dibromochloropropane","OS1897",,,,,,,,,,,,,,
"1449","isopyrazam","SYN 520453",,,,,,,,,,,,,,
"1458","barium polysulphide",,,,,,,,,,,,,,,
